,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
2300,Marko Rog,hr CRO,MF,Cagliari,it Serie A,26,1995,3.5,0,0,0,11,14,0,1,2,1,0,0,0,37,10,3,76.9,Matches,b6b2b820
2301,Rogério,br BRA,DF,Sassuolo,it Serie A,23,1998,19.2,5,0,0,17,37,1,55,34,13,0,0,0,135,11,18,37.9,Matches,10e7f486
2302,Alessio Romagnoli,it ITA,DF,Milan,it Serie A,26,1995,15.7,4,1,0,18,14,3,1,28,14,0,1,0,152,51,26,66.2,Matches,3ead85f9
2303,Simone Romagnoli,it ITA,DF,Empoli,it Serie A,31,1990,16.6,3,0,0,17,4,0,3,22,14,0,1,1,184,66,34,66.0,Matches,09899de8
2304,Leonardo Román,es ESP,GK,Mallorca,es La Liga,21,2000,2.0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,,Matches,924ff27e
2305,Cristian Romero,ar ARG,DF,Tottenham,eng Premier League,23,1998,20.5,8,0,0,36,17,2,2,57,45,0,1,0,199,50,30,62.5,Matches,a3d94a58
2306,Iván Romero,es ESP,FW,Sevilla,es La Liga,20,2001,2.0,0,0,0,4,7,1,0,3,1,0,0,0,6,0,12,0.0,Matches,2fbe6af0
2307,Luka Romero,ar ARG,FW,Lazio,it Serie A,16,2004,0.9,0,0,0,2,3,0,1,2,2,0,0,0,3,0,1,0.0,Matches,ca6edaa0
2308,Sergio Romero,ar ARG,GK,Venezia,it Serie A,34,1987,16.0,2,0,0,1,1,0,0,0,0,0,1,0,83,0,0,,Matches,1e26e376
2309,Oriol Romeu,es ESP,MF,Southampton,eng Premier League,29,1991,32.1,9,0,0,55,26,0,7,67,54,0,0,0,412,73,58,55.7,Matches,4b511457
2310,Cristiano Ronaldo,pt POR,FW,Manchester Utd,eng Premier League,36,1985,27.3,8,0,0,16,26,34,12,5,8,2,0,0,101,48,58,45.3,Matches,dea698d9
2311,Cristiano Ronaldo,pt POR,FW,Juventus,it Serie A,36,1985,0.3,1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,,Matches,dea698d9
2312,Salomón Rondón,ve VEN,FW,Everton,eng Premier League,31,1989,8.8,3,1,0,15,4,5,3,4,2,0,0,0,40,44,63,41.1,Matches,b318a643
2313,Valentin Rongier,fr FRA,DFMF,Marseille,fr Ligue 1,26,1994,24.4,3,0,0,38,32,0,15,43,57,0,1,0,216,27,27,50.0,Matches,ed45c4a5
2314,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,28,1992,7.0,1,0,0,0,2,0,0,0,0,0,0,0,24,0,0,,Matches,a70b8345
2315,Marten de Roon,nl NED,MFDF,Atalanta,it Serie A,30,1991,28.3,7,1,1,54,19,0,0,67,46,0,0,0,344,61,36,62.9,Matches,2a1beb34
2316,Unai Ropero,es ESP,MF,Alavés,es La Liga,19,2001,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches,7868c973
2317,Pablo Rosario,nl NED,MF,Nice,fr Ligue 1,24,1997,30.3,7,0,0,44,22,2,14,49,43,0,0,0,284,47,30,61.0,Matches,1a6b7ea4
2318,Romario Rösch,de GER,MF,Mainz 05,de Bundesliga,22,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,87ebfdb8
2319,Danny Rose,eng ENG,DF,Watford,eng Premier League,31,1990,7.7,4,0,0,12,16,0,15,15,15,0,1,0,51,4,6,40.0,Matches,89d10e53
2320,Francesco Rossi,it ITA,GK,Atalanta,it Serie A,30,1991,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,7b5f516f
2321,Tom Rothe,de GER,DF,Dortmund,de Bundesliga,16,2004,1.0,1,0,0,3,2,3,5,1,3,0,0,0,7,1,0,100.0,Matches,90c1f9a4
2322,Jérôme Roussillon,fr FRA,DF,Wolfsburg,de Bundesliga,28,1993,19.7,5,0,0,10,25,5,41,24,16,0,0,0,161,21,13,61.8,Matches,13203c45
2323,Nicolò Rovella,it ITA,MF,Genoa,it Serie A,19,2001,16.3,5,0,0,28,30,3,29,33,27,0,0,0,160,8,22,26.7,Matches,e58cbfd5
2324,Jon Rowe,eng ENG,FWMF,Norwich City,eng Premier League,18,2003,2.5,0,0,0,6,8,1,5,4,3,0,0,0,15,2,11,15.4,Matches,8c12f884
2325,Amir Rrahmani,xk KVX,DF,Napoli,it Serie A,27,1994,32.5,5,0,0,25,25,0,2,36,21,0,0,0,285,97,41,70.3,Matches,4b3e1a38
2326,Ruan,br BRA,DF,Sassuolo,it Serie A,22,1999,2.4,1,0,0,4,10,0,0,9,3,0,1,0,23,5,8,38.5,Matches,a378a02a
2327,Rubén,es ESP,DF,Espanyol,es La Liga,20,2001,1.7,0,0,0,5,1,0,4,2,1,0,0,0,9,6,2,75.0,Matches,35d4f151
2328,John Ruddy,eng ENG,GK,Wolves,eng Premier League,34,1986,1.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,da8b19e2
2329,Antonio Rüdiger,de GER,DF,Chelsea,eng Premier League,28,1993,33.7,9,0,0,41,16,0,14,43,28,2,0,0,284,67,30,69.1,Matches,18b896d6
2330,Sebastian Rudy,de GER,MF,Hoffenheim,de Bundesliga,31,1990,8.6,5,0,0,14,7,0,9,11,13,0,0,0,82,10,12,45.5,Matches,80f36c88
2331,Daniele Rugani,it ITA,DF,Juventus,it Serie A,27,1994,9.8,2,0,0,14,1,0,0,16,7,0,0,0,66,14,13,51.9,Matches,14b8fcdf
2332,Matteo Ruggeri,it ITA,DF,Salernitana,it Serie A,19,2002,7.5,1,0,0,2,3,1,22,13,5,0,0,0,45,10,5,66.7,Matches,ae9898c5
2333,Mário Rui,pt POR,DF,Napoli,it Serie A,30,1991,33.2,7,0,0,30,65,4,51,49,39,0,0,0,238,18,37,32.7,Matches,0b5a292a
2334,Aitor Ruibal,es ESP,FWDF,Betis,es La Liga,25,1996,9.5,6,0,0,25,20,1,18,16,15,0,0,0,54,5,22,18.5,Matches,a55d8df5
2335,Isma Ruiz,es ESP,MF,Granada,es La Liga,20,2001,3.1,1,0,0,3,3,1,0,7,1,0,0,0,30,3,6,33.3,Matches,6e36226f
2336,Fabián Ruiz Peña,es ESP,MF,Napoli,it Serie A,25,1996,26.5,2,0,0,21,24,1,15,43,41,0,0,0,231,14,17,45.2,Matches,c0c7ff58
2337,Víctor Ruiz,es ESP,DF,Betis,es La Liga,32,1989,15.8,2,0,0,13,2,2,0,42,6,0,0,0,172,56,25,69.1,Matches,b3dc6eca
2338,Gerónimo Rulli,ar ARG,GK,Villarreal,es La Liga,29,1992,32.0,2,0,0,0,6,0,0,0,0,0,0,0,151,0,0,,Matches,625c144a
2339,Lukas Rupp,de GER,MF,Norwich City,eng Premier League,30,1991,8.5,0,0,0,11,11,0,4,17,8,0,0,0,94,6,8,42.9,Matches,3faa1780
2340,Alessandro Russo,it ITA,MF,Salernitana,it Serie A,17,2003,0.3,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,,Matches,7152082d
2341,Franco Russo,ar ARG,DF,Mallorca,es La Liga,26,1994,16.3,7,2,2,24,10,1,0,40,13,0,0,1,168,38,29,56.7,Matches,b75ac54b
2342,Georginio Rutter,fr FRA,FWMF,Hoffenheim,de Bundesliga,19,2002,17.9,2,0,0,40,41,21,19,8,16,0,0,0,78,47,57,45.2,Matches,c64c01fc
2343,Mathew Ryan,au AUS,GK,Real Sociedad,es La Liga,29,1992,3.0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,,Matches,4535e4bb
2344,Julian Ryerson,no NOR,DF,Union Berlin,de Bundesliga,23,1997,15.9,3,0,0,16,12,0,39,25,15,0,0,0,161,24,37,39.3,Matches,009a4f60
2345,José Sá,pt POR,GK,Wolves,eng Premier League,28,1993,36.5,3,0,0,3,13,0,0,0,0,0,3,1,220,0,0,,Matches,903b6e8b
2346,Roli Pereira de Sa,fr FRA,MF,Nantes,fr Ligue 1,24,1996,6.4,1,0,0,7,7,1,5,9,8,0,0,0,60,11,7,61.1,Matches,60f58477
2347,Youssouf Sabaly,sn SEN,DF,Betis,es La Liga,28,1993,8.8,1,0,0,5,10,1,10,19,7,0,0,0,68,13,9,59.1,Matches,fbbb9269
2348,Mathys Saban,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,19,2002,0.8,1,0,0,2,0,0,1,0,0,0,0,0,5,1,2,33.3,Matches,7d9f3d69
2349,Stefano Sabelli,it ITA,DF,Genoa,it Serie A,28,1993,3.9,3,0,0,5,7,0,5,13,3,0,1,0,22,4,6,40.0,Matches,0ccac09c
2350,Abdelhamid Sabiri,de GER,MFFW,Sampdoria,it Serie A,24,1996,9.9,3,0,0,25,36,1,5,8,22,0,0,0,50,21,30,41.2,Matches,4830e0af
2351,Marcel Sabitzer,at AUT,MFDF,Bayern Munich,de Bundesliga,27,1994,10.1,0,0,0,17,19,0,13,13,9,0,0,0,112,23,11,67.6,Matches,e280527c
2352,Marcel Sabitzer,at AUT,MFFW,RB Leipzig,de Bundesliga,27,1994,0.5,1,0,0,1,0,0,2,1,1,0,0,0,7,0,1,0.0,Matches,e280527c
2353,Falaye Sacko,ml MLI,DF,Saint-Étienne,fr Ligue 1,26,1995,7.4,0,0,0,9,2,0,4,18,11,0,0,0,64,8,4,66.7,Matches,6388e356
2354,Alexis Saelemaekers,be BEL,FW,Milan,it Serie A,22,1999,20.7,2,0,0,35,48,1,46,28,25,0,0,0,150,12,15,44.4,Matches,ee251371
2355,Rafiki Said Ahamada,fr FRA,MFFW,Brest,fr Ligue 1,21,2000,1.4,1,0,0,7,3,1,3,0,4,0,0,0,14,4,1,80.0,Matches,c2e5f306
2356,Wesley Saïd,fr FRA,FWMF,Lens,fr Ligue 1,26,1995,7.3,2,0,0,18,5,3,15,4,4,1,0,0,26,2,9,18.2,Matches,90fcf472
2357,Allan Saint-Maximin,fr FRA,FWMF,Newcastle Utd,eng Premier League,24,1997,31.2,6,0,0,24,71,13,69,21,6,0,0,0,179,19,30,38.8,Matches,2b16cb1a
2358,Romain Saïss,ma MAR,DF,Wolves,eng Premier League,31,1990,30.1,6,0,0,35,18,3,7,81,38,0,2,0,260,84,43,66.1,Matches,9fbbcf39
2359,Bukayo Saka,eng ENG,FWMF,Arsenal,eng Premier League,19,2001,33.1,6,0,0,38,76,17,72,31,23,2,0,0,200,30,57,34.5,Matches,bc7dc64d
2360,Mamadou Sakho,fr FRA,DF,Montpellier,fr Ligue 1,31,1990,28.6,3,0,0,9,7,0,0,65,21,0,1,0,267,63,39,61.8,Matches,87935cf3
2361,Bakary Sako,ml MLI,FWMF,Saint-Étienne,fr Ligue 1,33,1988,1.7,0,0,0,4,2,1,2,2,1,0,0,0,9,3,9,25.0,Matches,381d7d54
2362,Jacopo Sala,it ITA,MF,Spezia,it Serie A,29,1991,9.8,3,0,0,16,13,1,7,22,16,0,1,0,108,7,4,63.6,Matches,da5a981b
2363,Mohamed Salah,eg EGY,FW,Liverpool,eng Premier League,29,1992,30.7,1,0,0,13,30,12,51,15,7,2,0,0,176,13,46,22.0,Matches,e342ad68
2364,Eddie Salcedo,it ITA,MFFW,Spezia,it Serie A,19,2001,4.8,1,0,0,8,7,2,5,4,0,0,0,0,31,13,11,54.2,Matches,0489bb30
2365,William Saliba,fr FRA,DF,Marseille,fr Ligue 1,20,2001,36.0,5,0,0,17,13,1,6,80,42,0,0,0,312,61,38,61.6,Matches,972aeb2a
2366,Romain Salin,fr FRA,GK,Rennes,fr Ligue 1,37,1984,1.0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,,Matches,74733221
2367,Mohammed Salisu,gh GHA,DF,Southampton,eng Premier League,22,1999,33.0,10,1,1,49,13,2,26,93,60,0,0,1,397,128,62,67.4,Matches,0b33f6ad
2368,Roland Sallai,hu HUN,MFFW,Freiburg,de Bundesliga,24,1997,17.2,1,0,0,31,43,4,38,18,17,1,0,0,101,27,46,37.0,Matches,bf075f6b
2369,Yoann Salmier,gf GUF,DF,Troyes,fr Ligue 1,28,1992,29.6,5,0,0,35,29,1,7,67,39,0,3,1,258,57,30,65.5,Matches,c3725db2
2370,Salvi,es ESP,MFFW,Cádiz,es La Liga,30,1991,15.5,3,1,1,9,19,1,42,8,10,0,0,0,77,16,20,44.4,Matches,405f267a
2371,Lazar Samardzic,de GER,MF,Udinese,it Serie A,19,2002,5.4,0,0,0,13,2,0,11,4,16,0,0,0,47,6,8,42.9,Matches,217c93a1
2372,Diadie Samassékou,ml MLI,MF,Hoffenheim,de Bundesliga,25,1996,18.4,7,0,0,36,29,0,3,36,35,0,0,0,203,36,33,52.2,Matches,08593525
2373,Mama Samba Baldé,gw GNB,FWMF,Troyes,fr Ligue 1,25,1995,19.1,1,1,0,43,27,4,17,17,25,1,1,0,92,29,43,40.3,Matches,fb14aa28
2374,Albert Sambi Lokonga,be BEL,MF,Arsenal,eng Premier League,21,1999,12.6,5,0,0,17,17,0,3,23,13,0,0,0,124,21,23,47.7,Matches,1b4f1169
2375,Junior Sambia,fr FRA,DFFW,Montpellier,fr Ligue 1,24,1996,17.0,5,1,1,19,28,0,48,29,8,0,0,0,108,22,25,46.8,Matches,24eb7ed6
2376,Luigi Samele,it ITA,FW,Sassuolo,it Serie A,19,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,100.0,Matches,548fea2f
2377,Fede San Emeterio,es ESP,MF,Cádiz,es La Liga,24,1997,9.2,3,0,0,33,12,0,0,8,12,0,0,0,92,15,5,75.0,Matches,efecd633
2378,Antonio Sanabria,py PAR,FW,Torino,it Serie A,25,1996,20.0,3,0,0,28,35,21,4,5,6,2,0,0,77,72,158,31.3,Matches,0a447501
2379,Oihan Sancet,es ESP,FW,Athletic Club,es La Liga,21,2000,15.8,2,0,0,21,30,5,10,7,11,0,0,0,63,16,44,26.7,Matches,bdb624a3
2380,Renato Sanches,pt POR,MF,Lille,fr Ligue 1,23,1997,18.3,8,1,1,31,33,1,38,18,16,0,0,0,165,12,14,46.2,Matches,032f894e
2381,Alexis Sánchez,cl CHI,FW,Inter,it Serie A,32,1988,9.8,0,0,0,11,28,8,14,7,11,0,0,0,65,12,25,32.4,Matches,2c0f8e9e
2382,Antonio Sánchez,es ESP,MFFW,Mallorca,es La Liga,24,1997,18.0,3,1,0,49,30,3,8,39,28,0,0,0,183,14,21,40.0,Matches,a254bbe0
2383,Davinson Sánchez,co COL,DF,Tottenham,eng Premier League,25,1996,18.1,4,0,0,16,12,1,2,34,22,0,0,0,153,56,38,59.6,Matches,da7b447d
2384,Germán Sánchez,es ESP,DF,Granada,es La Liga,34,1986,25.5,11,1,1,23,25,1,0,36,16,0,0,0,247,80,53,60.2,Matches,ea9b2ef9
2385,Juan Sánchez,es ESP,MF,Sevilla,es La Liga,17,2003,0.1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,Matches,ff4f78e1
2386,Manuel Sánchez,es ESP,DF,Osasuna,es La Liga,20,2000,25.1,6,0,0,38,17,0,58,33,40,0,1,0,183,18,51,26.1,Matches,ffacd3d5
2387,Robert Sánchez,es ESP,GK,Brighton,eng Premier League,23,1997,37.0,3,1,0,0,3,0,0,0,0,0,0,0,166,0,0,,Matches,6a713852
2388,Jadon Sancho,eng ENG,FWMF,Manchester Utd,eng Premier League,21,2000,21.1,0,0,0,7,9,7,32,24,13,0,0,0,145,2,22,8.3,Matches,dbf053da
2389,Philippe Sandler,nl NED,DF,Troyes,fr Ligue 1,24,1997,0.8,0,0,0,0,0,0,0,1,1,0,0,0,3,3,0,100.0,Matches,60740e70
2390,Alex Sandro,br BRA,DF,Juventus,it Serie A,30,1991,19.8,3,0,0,33,36,1,39,35,17,1,0,1,171,37,28,56.9,Matches,0d82903c
2391,Leroy Sané,de GER,FWMF,Bayern Munich,de Bundesliga,25,1996,22.0,3,0,0,26,32,7,30,24,20,0,0,0,152,6,12,33.3,Matches,2b114be3
2392,Oier Sanjurjo,es ESP,MF,Osasuna,es La Liga,35,1986,8.4,3,0,0,21,8,2,8,2,10,0,0,0,83,25,19,56.8,Matches,466824fb
2393,Mohamed Sankoh,nl NED,FW,Stuttgart,de Bundesliga,17,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,be625686
2394,Morgan Sanson,fr FRA,MF,Aston Villa,eng Premier League,26,1994,4.0,0,0,0,6,15,0,6,11,8,0,0,0,34,2,3,40.0,Matches,6e7f1353
2395,Nicola Sansone,it ITA,FWMF,Bologna,it Serie A,29,1991,10.0,6,0,0,15,23,6,24,9,9,2,0,0,57,6,26,18.8,Matches,7eb97a8e
2396,Baptiste Santamaria,fr FRA,MF,Freiburg,de Bundesliga,26,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches,5e22e2a4
2397,Baptiste Santamaria,fr FRA,MFDF,Rennes,fr Ligue 1,26,1995,28.0,7,0,0,37,26,0,13,48,22,0,1,0,293,79,39,66.9,Matches,5e22e2a4
2398,Federico Santander,py PAR,FWDF,Bologna,it Serie A,30,1991,0.7,1,0,0,2,5,0,1,1,2,0,0,0,2,8,7,53.3,Matches,df85d472
2399,Jesús Santiago,es ESP,MF,Valencia,es La Liga,17,2004,0.9,0,0,0,2,1,0,0,0,1,0,0,0,14,0,0,,Matches,bc49fd34
2400,Samir Santos,br BRA,DF,Watford,eng Premier League,26,1994,18.6,4,0,0,18,16,0,0,54,19,0,0,0,171,55,36,60.4,Matches,92b4758e
2401,Samir Santos,br BRA,DF,Udinese,it Serie A,26,1994,15.8,5,0,0,38,17,0,12,51,23,0,0,0,121,46,14,76.7,Matches,92b4758e
2402,Sergio Santos,es ESP,DF,Real Madrid,es La Liga,20,2001,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches,cf59e05f
2403,Alvaro Sanz,es ESP,MF,Barcelona,es La Liga,20,2001,0.3,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,,Matches,eaefa2d0
2404,Riccardo Saponara,it ITA,FW,Fiorentina,it Serie A,29,1991,14.3,1,0,0,6,27,4,26,5,4,1,0,0,82,8,7,53.3,Matches,3bb7af3b
2405,Pablo Sarabia,es ESP,FW,Paris S-G,fr Ligue 1,29,1992,0.2,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,,Matches,9744ff80
2406,Marcelo Saracchi,uy URU,DF,Levante,es La Liga,23,1998,2.1,2,0,0,4,0,0,5,4,3,0,0,0,17,1,2,33.3,Matches,1c96ad85
2407,Josh Sargent,us USA,FWMF,Norwich City,eng Premier League,21,2000,17.5,1,0,0,13,29,4,13,21,17,0,0,0,103,42,53,44.2,Matches,a8d4428b
2408,Jeremy Sarmiento,ec ECU,FWMF,Brighton,eng Premier League,19,2002,0.5,0,0,0,0,3,0,0,1,1,0,0,0,6,1,2,33.3,Matches,ac0d576d
2409,Bouna Sarr,sn SEN,DF,Bayern Munich,de Bundesliga,29,1992,0.7,0,0,0,0,0,0,6,3,2,0,0,0,9,1,2,33.3,Matches,1a4b9094
2410,Ismaila Sarr,sn SEN,FWMF,Watford,eng Premier League,23,1998,20.7,2,0,0,21,47,12,48,16,7,0,0,0,105,13,23,36.1,Matches,bfdb33aa
2411,Malang Sarr,fr FRA,DF,Chelsea,eng Premier League,22,1999,6.1,2,0,0,9,1,0,4,12,4,0,0,0,51,14,7,66.7,Matches,4315f30d
2412,Joan Sastre Vanrell,es ESP,DF,Mallorca,es La Liga,24,1997,2.9,1,0,0,4,7,0,6,7,4,0,1,0,14,7,1,87.5,Matches,f9acf8bf
2413,Giacomo Satalino,it ITA,GK,Sassuolo,it Serie A,22,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,b1f0b916
2414,Martin Satriano,it ITA,FW,Brest,fr Ligue 1,20,2001,10.4,5,0,0,15,13,2,5,7,3,0,0,0,44,19,45,29.7,Matches,86383d0e
2415,Martin Satriano,it ITA,FWMF,Inter,it Serie A,20,2001,0.4,0,0,0,1,0,0,0,0,1,0,0,0,5,2,4,33.3,Matches,86383d0e
2416,Téji Savanier,fr FRA,MF,Montpellier,fr Ligue 1,29,1991,26.8,9,2,1,50,92,2,100,50,39,0,0,0,232,19,29,39.6,Matches,6bde367b
2417,Esteban Saveljich,me MNE,DF,Rayo Vallecano,es La Liga,30,1991,18.9,4,0,0,25,1,3,3,22,12,0,1,0,122,59,32,64.8,Matches,79f2a5f5
2418,Stefan Savić,me MNE,DF,Atlético Madrid,es La Liga,30,1991,27.1,12,0,0,34,23,3,2,37,14,0,0,1,267,82,56,59.4,Matches,f6ac68c1
2419,Joe Scally,us USA,DF,M'Gladbach,de Bundesliga,18,2002,21.2,4,0,0,30,43,2,29,37,23,0,0,0,159,23,26,46.9,Matches,236f02cd
2420,Giorgio Scalvini,it ITA,DFMF,Atalanta,it Serie A,17,2003,8.5,1,0,0,16,6,0,2,22,19,0,0,0,104,29,16,64.4,Matches,1e9aa637
2421,Gianluca Scamacca,it ITA,FW,Sassuolo,it Serie A,22,1999,23.8,7,0,0,52,25,10,5,9,17,0,0,0,83,59,47,55.7,Matches,8790f988
2422,Dane Scarlett,eng ENG,MF,Tottenham,eng Premier League,17,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,21945a9e
2423,Kevin Schade,de GER,FWMF,Freiburg,de Bundesliga,19,2001,9.2,2,0,0,25,28,4,15,9,11,0,0,0,53,38,40,48.7,Matches,52afb588
2424,András Schäfer,hu HUN,MF,Union Berlin,de Bundesliga,22,1999,2.7,2,0,0,7,2,0,2,5,7,0,0,0,20,4,8,33.3,Matches,049751d7
2425,Fabian Schär,ch SUI,DF,Newcastle Utd,eng Premier League,29,1991,24.0,4,0,0,33,13,3,6,75,11,0,0,0,208,51,45,53.1,Matches,c8aa95da
2426,Louis Schaub,at AUT,MFFW,Köln,de Bundesliga,26,1994,7.3,0,0,0,10,13,3,24,6,11,0,0,0,70,9,10,47.4,Matches,b50ec54b
2427,Andrea Schiavone,it ITA,MF,Salernitana,it Serie A,28,1993,6.3,1,0,0,12,5,0,6,12,7,0,0,0,43,5,4,55.6,Matches,4b55eb4d
2428,Patrik Schick,cz CZE,FW,Leverkusen,de Bundesliga,25,1996,23.1,0,0,0,15,26,6,3,5,2,0,0,0,62,64,86,42.7,Matches,5d4f7d61
2429,Kingsley Schindler,de GER,DFMF,Köln,de Bundesliga,28,1993,3.9,1,0,0,2,6,1,15,7,2,0,0,0,46,11,7,61.1,Matches,bd527260
2430,Xaver Schlager,at AUT,MF,Wolfsburg,de Bundesliga,23,1997,11.6,2,0,0,24,18,1,8,18,31,0,0,0,131,16,16,50.0,Matches,8f056768
2431,Keven Schlotterbeck,de GER,DF,Freiburg,de Bundesliga,24,1997,3.5,1,0,0,9,2,0,0,12,3,0,0,0,32,11,4,73.3,Matches,f6bdc830
2432,Nico Schlotterbeck,de GER,DF,Freiburg,de Bundesliga,21,1999,30.9,5,0,0,34,38,1,10,80,53,0,0,0,385,129,45,74.1,Matches,34e12499
2433,Jeffrey Schlupp,gh GHA,MFFW,Crystal Palace,eng Premier League,28,1992,20.6,1,0,0,32,28,0,19,25,23,1,0,0,181,41,35,53.9,Matches,3312f911
2434,Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,34,1986,37.0,2,0,0,0,2,0,0,0,0,0,0,0,159,0,1,0.0,Matches,53af52f3
2435,Jonathan Schmid,fr FRA,DF,Freiburg,de Bundesliga,31,1990,6.5,0,0,0,7,3,0,13,7,7,0,0,0,64,11,8,57.9,Matches,088ca1bd
2436,Benno Schmitz,de GER,DF,Köln,de Bundesliga,26,1994,26.9,5,0,0,34,23,1,74,53,41,0,0,0,261,42,57,42.4,Matches,ad00b1a8
2437,David Schnegg,at AUT,DF,Venezia,it Serie A,22,1998,1.6,1,0,0,3,1,1,4,3,1,0,0,0,13,2,5,28.6,Matches,1c341b14
2438,Morgan Schneiderlin,fr FRA,MF,Nice,fr Ligue 1,31,1989,7.2,1,1,0,15,6,0,1,22,11,0,0,0,82,11,11,50.0,Matches,51b41c5c
2439,Alessandro Schöpf,at AUT,MF,Arminia,de Bundesliga,27,1994,26.6,3,1,1,36,44,1,27,42,24,1,0,0,322,32,42,43.2,Matches,106bca06
2440,Jerdy Schouten,nl NED,MF,Bologna,it Serie A,24,1997,15.5,4,1,1,20,9,0,1,41,18,0,0,0,179,30,24,55.6,Matches,2cfae697
2441,Nico Schulz,de GER,DF,Dortmund,de Bundesliga,28,1993,9.3,2,0,0,17,5,0,15,20,18,0,0,0,99,12,7,63.2,Matches,fa274d97
2442,Marvin Schwäbe,de GER,GK,Köln,de Bundesliga,26,1995,21.0,1,0,0,0,2,0,0,0,0,0,0,0,93,0,0,,Matches,87436846
2443,Alexander Schwolow,de GER,GK,Hertha BSC,de Bundesliga,29,1992,24.2,1,0,0,2,2,0,0,1,0,0,1,0,124,0,0,,Matches,0d55d942
2444,Valentino Scotta,es ESP,DF,Sevilla,es La Liga,19,2001,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Matches,98529579
2445,Demba Seck,sn SEN,FWMF,Torino,it Serie A,20,2001,1.6,0,0,0,2,3,2,1,0,2,0,0,0,9,2,4,33.3,Matches,16463a79
2446,Aleksandar Sedlar,rs SRB,DFMF,Mallorca,es La Liga,29,1991,4.5,5,1,1,7,5,0,0,6,3,0,0,0,50,12,8,60.0,Matches,a35134ae
2447,Paul Seguin,de GER,MF,Greuther Fürth,de Bundesliga,26,1995,23.4,9,0,0,50,31,0,23,40,32,0,0,0,241,40,27,59.7,Matches,8872ed17
2448,Alidu Seidu,gh GHA,DF,Clermont Foot,fr Ligue 1,21,2000,15.7,7,2,1,20,30,1,2,58,25,0,0,0,165,24,14,63.2,Matches,cea59f02
2449,Davie Selke,de GER,FW,Hertha BSC,de Bundesliga,26,1995,11.2,2,0,0,34,21,5,6,2,6,0,0,0,36,83,65,56.1,Matches,1238a3f9
2450,Matz Sels,be BEL,GK,Strasbourg,fr Ligue 1,29,1992,37.0,1,0,0,1,5,0,0,0,0,0,0,0,142,1,0,100.0,Matches,834b5c4c
2451,Ken Sema,se SWE,MFFW,Watford,eng Premier League,27,1993,9.5,1,0,0,19,9,0,18,9,8,0,0,0,63,10,22,31.3,Matches,1770bd68
2452,Nélson Semedo,pt POR,DF,Wolves,eng Premier League,27,1993,23.7,1,0,0,23,24,4,26,43,40,0,1,0,177,20,32,38.5,Matches,d04b94db
2453,Lion Semić,de GER,DF,Dortmund,de Bundesliga,17,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,87ebd8c9
2454,Adrian Šemper,hr CRO,GK,Genoa,it Serie A,23,1998,1.0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,Matches,f02dde20
2455,Stefano Sensi,it ITA,MF,Inter,it Serie A,25,1995,1.9,0,0,0,4,4,1,4,1,4,0,0,0,19,2,2,50.0,Matches,b70bde8f
2456,Stefano Sensi,it ITA,MF,Sampdoria,it Serie A,25,1995,8.4,1,0,0,22,23,0,4,9,13,0,0,0,73,6,10,37.5,Matches,b70bde8f
2457,Luigi Sepe,it ITA,GK,Salernitana,it Serie A,30,1991,15.5,2,0,0,0,3,0,0,0,0,0,0,0,73,0,0,,Matches,343f753a
2458,Suat Serdar,de GER,MFFW,Hertha BSC,de Bundesliga,24,1997,24.6,6,0,0,42,59,2,5,40,42,0,0,0,171,24,26,48.0,Matches,b3325a30
