,,,,,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
2339,Rui Silva,pt POR,GK,Betis,es La Liga,29-051,1994,20.0,4,1,4,0,0,4,4,100.0,0,0,0,0,0,4,7,1,Matches
2340,Thiago Silva,br BRA,DF,Chelsea,eng Premier League,38-189,1984,20.1,34,22,19,15,0,18,24,75.0,6,30,22,8,29,63,91,2,Matches
2341,Marco Silvestri,it ITA,GK,Udinese,it Serie A,32-028,1991,27.0,2,1,2,0,0,2,3,66.7,1,0,0,0,1,3,7,1,Matches
2342,Abdallah Sima,sn SEN,FW,Angers,fr Ligue 1,21-286,2001,14.9,14,8,2,9,3,4,11,36.4,7,6,0,6,3,17,14,0,Matches
2343,Mohamed Simakan,fr FRA,DF,RB Leipzig,de Bundesliga,22-331,2000,10.2,12,10,8,3,1,8,13,61.5,5,14,2,12,10,22,36,0,Matches
2344,Giovanni Simeone,ar ARG,FW,Napoli,it Serie A,27-268,1995,2.5,12,3,3,5,4,3,7,42.9,4,1,1,0,1,13,3,0,Matches
2345,Ellis Simms,eng ENG,FW,Everton,eng Premier League,22-084,2001,1.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
2346,Eduardo Simões,pt POR,DF,Hoffenheim,de Bundesliga,21-028,2002,1.0,5,3,3,2,0,1,3,33.3,2,3,2,1,0,5,3,0,Matches
2347,Moses Simon,ng NGA,FWMF,Nantes,fr Ligue 1,27-261,1995,20.2,18,9,6,7,5,7,11,63.6,4,10,1,9,6,24,3,0,Matches
2348,Unai Simón,es ESP,GK,Athletic Club,es La Liga,25-292,1997,21.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,8,1,Matches
2349,Lassine Sinayoko,ml MLI,MFFW,Auxerre,fr Ligue 1,23-112,1999,14.4,30,14,13,10,7,19,31,61.3,12,12,0,12,11,41,17,0,Matches
2350,Wilfried Singo,ci CIV,DF,Torino,it Serie A,22-095,2000,15.4,21,14,11,8,2,9,12,75.0,3,11,1,10,8,29,25,1,Matches
2351,Luis Sinisterra,co COL,FW,Leeds United,eng Premier League,23-286,1999,6.0,14,9,3,9,2,7,12,58.3,5,4,0,4,6,20,1,0,Matches
2352,Daley Sinkgraven,nl NED,DFMF,Leverkusen,de Bundesliga,27-269,1995,3.6,6,6,4,2,0,5,6,83.3,1,8,4,4,5,11,7,0,Matches
2353,Tobias Sippel,de GER,GK,M'Gladbach,de Bundesliga,35-008,1988,5.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
2354,Hugo Siquet,be BEL,DF,Freiburg,de Bundesliga,20-264,2002,0.2,2,2,2,0,0,2,2,100.0,0,1,0,1,0,2,0,0,Matches
2355,Salvatore Sirigu,it ITA,GK,Fiorentina,it Serie A,36-077,1987,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
2356,Ibrahima Sissoko,fr FRA,MF,Strasbourg,fr Ligue 1,25-154,1997,9.7,20,12,7,10,3,9,23,39.1,14,13,4,9,6,26,15,0,Matches
2357,Moussa Sissoko,fr FRA,MF,Nantes,fr Ligue 1,33-226,1989,16.4,23,16,16,5,2,12,16,75.0,4,17,5,12,13,36,12,0,Matches
2358,Tim Skarke,de GER,DFMF,Union Berlin,de Bundesliga,26-204,1996,0.6,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0,Matches
2359,Tim Skarke,de GER,FWMF,Schalke 04,de Bundesliga,26-204,1996,2.4,4,1,1,3,0,2,5,40.0,3,2,0,2,0,4,1,0,Matches
2360,Ellyes Skhiri,tn TUN,MF,Köln,de Bundesliga,27-324,1995,23.7,69,38,24,38,7,24,57,42.1,33,38,9,29,43,112,38,0,Matches
2361,Oliver Skipp,eng ENG,MF,Tottenham,eng Premier League,22-195,2000,7.2,16,9,9,6,1,6,15,40.0,9,6,1,5,6,22,9,0,Matches
2362,Leo Skiri Østigård,no NOR,DF,Napoli,it Serie A,23-122,1999,2.7,4,1,3,1,0,1,1,100.0,0,0,0,0,4,8,10,0,Matches
2363,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,31-329,1991,27.0,2,1,2,0,0,1,2,50.0,1,0,0,0,0,2,13,1,Matches
2364,Robert Skov,dk DEN,DF,Hoffenheim,de Bundesliga,26-314,1996,13.7,17,9,11,5,1,7,22,31.8,15,20,6,14,8,25,18,1,Matches
2365,Milan Škriniar,sk SVK,DF,Inter,it Serie A,28-047,1995,19.7,29,18,14,11,4,18,32,56.3,14,18,13,5,13,42,46,3,Matches
2366,Naatan Skyttä,fi FIN,MF,Toulouse,fr Ligue 1,20-327,2002,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
2367,Islam Slimani,dz ALG,FW,Brest,fr Ligue 1,34-285,1988,11.0,5,3,2,2,1,0,3,0.0,3,2,0,2,1,6,11,0,Matches
2368,Chris Smalling,eng ENG,DF,Roma,it Serie A,33-128,1989,25.7,21,12,13,8,0,9,17,52.9,8,40,30,10,37,58,109,0,Matches
2369,Adam Smith,eng ENG,DF,Bournemouth,eng Premier League,31-335,1991,24.4,38,22,21,14,3,23,49,46.9,26,25,11,14,17,55,62,1,Matches
2370,Emile Smith Rowe,eng ENG,FWMF,Arsenal,eng Premier League,22-245,2000,1.3,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,2,0,Matches
2371,Hrvoje Smolčić,hr CRO,DF,Eint Frankfurt,de Bundesliga,22-225,2000,5.2,8,7,6,2,0,5,10,50.0,5,11,4,7,6,14,38,0,Matches
2372,Cédric Soares,pt POR,DF,Arsenal,eng Premier League,31-211,1991,0.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Matches
2373,Cédric Soares,pt POR,DF,Fulham,eng Premier League,31-211,1991,0.1,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,Matches
2374,Danilo Soares,br BRA,DF,Bochum,de Bundesliga,31-152,1991,15.2,56,38,30,19,7,34,52,65.4,18,25,4,21,22,78,39,1,Matches
2375,Eduard Sobol,ua UKR,DF,Strasbourg,fr Ligue 1,27-344,1995,5.6,10,6,4,4,2,3,5,60.0,2,3,0,3,4,14,13,0,Matches
2376,Rubén Sobrino,es ESP,MFFW,Cádiz,es La Liga,30-302,1992,17.3,28,18,15,9,4,9,23,39.1,14,20,1,19,15,43,14,0,Matches
2377,Alex Sola,es ESP,DF,Real Sociedad,es La Liga,23-294,1999,3.8,18,9,14,3,1,7,10,70.0,3,7,2,5,7,25,10,0,Matches
2378,Dominic Solanke,eng ENG,FWMF,Bournemouth,eng Premier League,25-197,1997,20.9,8,5,5,1,2,3,13,23.1,10,16,5,11,2,10,34,0,Matches
2379,Augusto Solari,ar ARG,MFFW,Celta Vigo,es La Liga,31-086,1992,2.4,7,5,3,3,1,1,8,12.5,7,4,0,4,4,11,3,0,Matches
2380,Ola Solbakken,no NOR,MFFW,Roma,it Serie A,24-204,1998,1.2,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0,Matches
2381,Nikola Soldo,hr CRO,DF,Köln,de Bundesliga,22-064,2001,6.6,15,9,8,7,0,7,11,63.6,4,7,6,1,7,22,28,0,Matches
2382,Carlos Soler,es ESP,MF,Valencia,es La Liga,26-087,1997,2.7,2,0,0,1,1,2,3,66.7,1,1,0,1,0,2,2,0,Matches
2383,Carlos Soler,es ESP,MF,Paris S-G,fr Ligue 1,26-087,1997,9.4,13,9,4,7,2,8,15,53.3,7,6,2,4,3,16,2,0,Matches
2384,François-Joseph Sollacaro,fr FRA,GK,Ajaccio,fr Ligue 1,29-009,1994,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
2385,Manor Solomon,il ISR,FW,Fulham,eng Premier League,23-249,1999,3.1,13,7,6,5,2,6,7,85.7,1,1,0,1,4,17,0,0,Matches
2386,Yann Sommer,ch SUI,GK,Bayern Munich,de Bundesliga,34-103,1988,10.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,Matches
2387,Yann Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,34-103,1988,10.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,8,0,Matches
2388,Brandon Soppy,fr FRA,DF,Udinese,it Serie A,21-037,2002,1.0,1,1,0,1,0,0,0,,0,4,0,4,1,2,1,0,Matches
2389,Brandon Soppy,fr FRA,DF,Atalanta,it Serie A,21-037,2002,6.3,7,4,3,4,0,2,7,28.6,5,8,0,8,2,9,7,0,Matches
2390,David Soria,es ESP,GK,Getafe,es La Liga,29-360,1993,26.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,14,3,Matches
2391,Roberto Soriano,it ITA,FWMF,Bologna,it Serie A,32-050,1991,13.9,28,14,9,13,6,12,22,54.5,10,23,2,21,5,33,14,0,Matches
2392,Borna Sosa,hr CRO,DF,Stuttgart,de Bundesliga,25-068,1998,15.0,21,15,14,6,1,17,25,68.0,8,12,3,9,15,36,29,0,Matches
2393,Joaquin Sosa,uy URU,DF,Bologna,it Serie A,21-079,2002,6.6,6,2,5,1,0,4,16,25.0,12,5,3,2,5,11,30,0,Matches
2394,Hugo Sotelo,es ESP,MF,Celta Vigo,es La Liga,19-101,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
2395,Florian Sotoca,fr FRA,FWMF,Lens,fr Ligue 1,32-156,1990,25.5,36,17,10,15,11,14,33,42.4,19,37,1,36,22,58,32,0,Matches
2396,Riccardo Sottil,it ITA,FW,Fiorentina,it Serie A,23-300,1999,5.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Matches
2397,Tomáš Souček,cz CZE,MF,West Ham,eng Premier League,28-031,1995,22.2,61,31,33,23,5,21,42,50.0,21,36,14,22,38,99,45,1,Matches
2398,Matìas Soulé,ar ARG,MFDF,Juventus,it Serie A,19-349,2003,3.6,4,3,1,1,2,2,3,66.7,1,3,0,3,3,7,1,0,Matches
2399,Moussa Soumano,fr FRA,FWMF,Ajaccio,fr Ligue 1,17-264,2005,2.3,1,1,0,0,1,0,0,,0,2,0,2,0,1,0,0,Matches
2400,Adama Soumaoro,fr FRA,DF,Bologna,it Serie A,30-285,1992,15.7,17,11,7,8,2,3,4,75.0,1,13,9,4,15,32,51,1,Matches
2401,Boubakary Soumaré,fr FRA,MF,Leicester City,eng Premier League,24-031,1999,10.3,38,25,18,18,2,16,27,59.3,11,7,2,5,19,57,16,0,Matches
2402,Arnaud Souquet,fr FRA,DFFW,Montpellier,fr Ligue 1,31-046,1992,4.0,22,16,13,7,2,11,14,78.6,3,8,3,5,4,26,4,0,Matches
2403,Dyego Sousa,pt POR,FW,Almería,es La Liga,33-197,1989,4.1,4,2,2,1,1,2,2,100.0,0,3,1,2,1,5,8,0,Matches
2404,Harry Souttar,au AUS,DF,Leicester City,eng Premier League,24-159,1998,7.0,10,7,6,4,0,7,15,46.7,8,13,9,4,6,16,25,0,Matches
2405,Vinicius Souza,br BRA,MF,Espanyol,es La Liga,23-286,1999,22.5,85,54,34,38,13,30,48,62.5,18,28,13,15,42,127,43,1,Matches
2406,Djibril Sow,ch SUI,MF,Eint Frankfurt,de Bundesliga,26-052,1997,21.7,36,20,11,23,2,17,32,53.1,15,20,4,16,27,63,19,0,Matches
2407,Çağlar Söyüncü,tr TUR,DF,Leicester City,eng Premier League,26-311,1996,0.9,2,1,1,1,0,1,1,100.0,0,2,1,1,1,3,2,0,Matches
2408,Kevin Spadanuda,ch SUI,MFFW,Ajaccio,fr Ligue 1,26-073,1997,5.8,11,8,6,4,1,3,10,30.0,7,6,0,6,5,16,3,0,Matches
2409,Djed Spence,eng ENG,FWDF,Tottenham,eng Premier League,22-233,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
2410,Djed Spence,eng ENG,DF,Rennes,fr Ligue 1,22-233,2000,6.3,14,6,8,2,4,11,18,61.1,7,10,3,7,3,17,15,0,Matches
2411,Stijn Spierings,nl NED,MF,Toulouse,fr Ligue 1,27-018,1996,28.0,77,52,26,46,5,36,82,43.9,46,43,11,32,41,118,37,0,Matches
2412,Leonardo Spinazzola,it ITA,DF,Roma,it Serie A,30-005,1993,13.5,11,6,5,4,2,6,16,37.5,10,11,3,8,5,16,23,0,Matches
2413,Marco Sportiello,it ITA,GK,Atalanta,it Serie A,30-324,1992,6.9,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0,Matches
2414,Jack Stacey,eng ENG,DF,Bournemouth,eng Premier League,26-358,1996,3.3,5,4,3,1,1,2,5,40.0,3,3,1,2,5,10,15,0,Matches
2415,Anton Stach,de GER,MF,Mainz 05,de Bundesliga,24-135,1998,16.9,23,18,9,12,2,13,28,46.4,15,23,2,21,32,55,23,0,Matches
2416,Kostas Stafylidis,gr GRE,DFMF,Bochum,de Bundesliga,29-118,1993,8.9,23,13,11,7,5,7,17,41.2,10,17,6,11,14,37,21,1,Matches
2417,Jens Stage,dk DEN,MF,Werder Bremen,de Bundesliga,26-142,1996,13.4,26,13,10,15,1,6,26,23.1,20,28,8,20,13,39,19,0,Matches
2418,Josip Stanišić,hr CRO,DF,Bayern Munich,de Bundesliga,22-362,2000,5.2,19,11,14,2,3,12,17,70.6,5,6,0,6,6,25,9,1,Matches
2419,Junior Stanislas,eng ENG,MF,Bournemouth,eng Premier League,33-124,1989,0.7,0,0,0,0,0,0,0,,0,2,1,1,0,0,0,0,Matches
2420,Jay Stansfield,eng ENG,FW,Fulham,eng Premier League,20-126,2002,1.0,0,0,0,0,0,0,2,0.0,2,4,1,3,1,1,1,0,Matches
2421,Niklas Stark,de GER,DF,Werder Bremen,de Bundesliga,27-350,1995,14.6,38,27,20,16,2,18,27,66.7,9,10,4,6,27,65,66,0,Matches
2422,Jason Steele,eng ENG,GK,Brighton,eng Premier League,32-224,1990,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
2423,Calvin Stengs,nl NED,FW,Nice,fr Ligue 1,24-102,1998,2.4,2,2,1,0,1,1,2,50.0,1,0,0,0,0,2,0,0,Matches
2424,Pascal Stenzel,de GER,DF,Stuttgart,de Bundesliga,27-010,1996,3.6,12,8,8,4,0,5,9,55.6,4,8,2,6,5,17,6,0,Matches
2425,Jack Stephens,eng ENG,DF,Southampton,eng Premier League,29-062,1994,0.5,2,2,2,0,0,1,1,100.0,0,1,1,0,1,3,2,0,Matches
2426,Jack Stephens,eng ENG,DF,Bournemouth,eng Premier League,29-062,1994,8.0,14,10,9,4,1,5,8,62.5,3,16,12,4,7,21,40,0,Matches
2427,Raheem Sterling,eng ENG,FWMF,Chelsea,eng Premier League,28-112,1994,14.9,12,7,4,2,6,5,10,50.0,5,12,0,12,1,13,3,0,Matches
2428,Angelo Stiller,de GER,MF,Hoffenheim,de Bundesliga,21-360,2001,6.6,23,10,7,12,4,6,9,66.7,3,11,2,9,9,32,5,0,Matches
2429,Lars Stindl,de GER,FWMF,M'Gladbach,de Bundesliga,34-216,1988,14.2,18,10,4,12,2,9,22,40.9,13,18,3,15,8,26,17,0,Matches
2430,Kevin Stöger,at AUT,MF,Bochum,de Bundesliga,29-215,1993,21.5,59,29,25,25,9,20,61,32.8,41,21,4,17,21,80,15,0,Matches
2431,Petar Stojanović,si SVN,DF,Empoli,it Serie A,27-174,1995,15.3,38,20,24,10,4,23,39,59.0,16,15,4,11,11,49,52,0,Matches
2432,John Stones,eng ENG,DF,Manchester City,eng Premier League,28-306,1994,14.1,16,10,8,4,4,4,6,66.7,2,11,7,4,6,22,25,0,Matches
2433,Jørgen Strand Larsen,no NOR,FW,Celta Vigo,es La Liga,23-052,2000,13.9,11,5,3,3,5,5,23,21.7,18,11,3,8,2,13,19,0,Matches
2434,Gabriel Strefezza,br BRA,FW,Lecce,it Serie A,25-346,1997,19.5,38,19,15,17,6,18,34,52.9,16,24,2,22,12,50,14,0,Matches
2435,Dávid Strelec,sk SVK,FW,Spezia,it Serie A,21-360,2001,1.9,2,2,0,1,1,2,2,100.0,0,0,0,0,0,2,0,0,Matches
2436,Pascal Struijk,nl NED,DF,Leeds United,eng Premier League,23-231,1999,18.7,64,45,32,24,8,35,56,62.5,21,25,7,18,26,90,49,0,Matches
2437,Cristhian Stuani,uy URU,FW,Girona,es La Liga,36-169,1986,7.9,5,2,1,1,3,3,9,33.3,6,6,0,6,1,6,4,0,Matches
2438,Damián Suárez,uy URU,DFMF,Getafe,es La Liga,34-337,1988,12.3,30,19,13,12,5,12,19,63.2,7,26,0,26,10,40,21,0,Matches
2439,Denis Suárez,es ESP,MF,Espanyol,es La Liga,29-083,1994,4.1,7,5,3,3,1,3,14,21.4,11,7,1,6,2,9,1,0,Matches
2440,Mario Suárez,es ESP,DFMF,Rayo Vallecano,es La Liga,36-034,1987,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
2441,Gabriel Suazo,cl CHI,DF,Toulouse,fr Ligue 1,25-233,1997,6.8,21,13,10,9,2,14,33,42.4,19,14,4,10,11,32,10,0,Matches
2442,Isaac Success,ng NGA,FW,Udinese,it Serie A,27-082,1996,17.9,8,4,2,5,1,3,7,42.9,4,12,2,10,4,12,16,0,Matches
2443,Niklas Süle,de GER,DF,Dortmund,de Bundesliga,27-208,1995,15.8,14,11,10,2,2,5,10,50.0,5,22,13,9,11,25,35,0,Matches
2444,Ibrahim Sulemana,gh GHA,MF,Hellas Verona,it Serie A,19-312,2003,4.0,11,7,6,4,1,3,5,60.0,2,3,2,1,7,18,8,0,Matches
2445,Kamaldeen Sulemana,gh GHA,FWMF,Southampton,eng Premier League,21-043,2002,5.8,7,4,1,2,4,2,9,22.2,7,12,0,12,1,8,2,0,Matches
2446,Kamaldeen Sulemana,gh GHA,FWMF,Rennes,fr Ligue 1,21-043,2002,3.6,6,3,1,4,1,1,5,20.0,4,2,0,2,4,10,2,0,Matches
2447,Crysencio Summerville,nl NED,FW,Leeds United,eng Premier League,21-151,2001,11.3,22,16,10,11,1,8,17,47.1,9,14,1,13,8,30,8,0,Matches
2448,Ivan Šunjić,hr CRO,MF,Hertha BSC,de Bundesliga,26-172,1996,11.0,38,20,16,21,1,16,24,66.7,8,17,5,12,13,51,19,1,Matches
2449,Sam Surridge,eng ENG,FW,Nott'ham Forest,eng Premier League,24-245,1998,3.1,4,0,1,2,1,0,3,0.0,3,4,2,2,0,4,6,0,Matches
2450,Suso,es ESP,MFFW,Sevilla,es La Liga,29-131,1993,6.7,9,5,3,4,2,5,10,50.0,5,5,0,5,1,10,1,0,Matches
2451,Mattias Svanberg,se SWE,MF,Wolfsburg,de Bundesliga,24-084,1999,14.3,13,8,5,8,0,6,19,31.6,13,19,4,15,15,28,18,1,Matches
2452,Williot Swedberg,se SWE,MF,Celta Vigo,es La Liga,19-057,2004,0.4,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
2453,Issiaga Sylla,gn GUI,DF,Montpellier,fr Ligue 1,29-088,1994,7.0,15,9,10,5,0,8,16,50.0,8,8,1,7,18,33,13,0,Matches
2454,Issiaga Sylla,gn GUI,DF,Toulouse,fr Ligue 1,29-088,1994,15.2,28,15,14,9,5,15,34,44.1,19,15,5,10,38,66,38,0,Matches
2455,Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,32-346,1990,18.5,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,4,0,Matches
2456,Dominik Szoboszlai,hu HUN,MFFW,RB Leipzig,de Bundesliga,22-156,2000,20.0,33,22,8,15,10,12,28,42.9,16,26,1,25,16,49,24,0,Matches
2457,Alexander Sørloth,no NOR,FW,Real Sociedad,es La Liga,27-115,1995,18.4,12,5,2,3,7,5,10,50.0,5,6,1,5,2,14,20,1,Matches
2458,Alexander Sørloth,no NOR,FW,RB Leipzig,de Bundesliga,27-115,1995,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
2459,Nicolás Tagliafico,ar ARG,DF,Lyon,fr Ligue 1,30-211,1992,25.7,78,46,33,35,10,42,64,65.6,22,31,6,25,50,128,28,0,Matches
2460,Jonathan Tah,de GER,DF,Leverkusen,de Bundesliga,27-047,1996,19.6,20,10,16,4,0,11,16,68.8,5,19,11,8,22,42,85,0,Matches
2461,Benjamin Tahirovic,ba BIH,MF,Roma,it Serie A,20-027,2003,1.5,2,2,2,0,0,1,4,25.0,3,4,0,4,2,4,1,0,Matches
2462,Waniss Taibi,fr FRA,MF,Angers,fr Ligue 1,21-023,2002,2.1,7,4,4,2,1,2,4,50.0,2,0,0,0,2,9,2,0,Matches
2463,Flavien Tait,fr FRA,MF,Rennes,fr Ligue 1,30-056,1993,15.8,28,14,7,16,5,18,35,51.4,17,15,3,12,19,47,11,0,Matches
2464,Montassar Talbi,tn TUN,DF,Lorient,fr Ligue 1,24-308,1998,28.0,35,16,28,7,0,17,26,65.4,9,33,22,11,24,59,126,3,Matches
2465,Adrien Tameze,cm CMR,MF,Hellas Verona,it Serie A,29-054,1994,23.3,33,17,16,13,4,16,42,38.1,26,39,11,28,26,59,44,2,Matches
2466,Japhet Tanganga,eng ENG,DF,Tottenham,eng Premier League,23-364,1999,1.6,3,2,3,0,0,1,3,33.3,2,1,0,1,2,5,6,0,Matches
2467,Renato Tapia,pe PER,MFDF,Celta Vigo,es La Liga,27-245,1995,9.0,24,14,11,11,2,7,17,41.2,10,17,10,7,11,35,16,0,Matches
2468,Edmond Tapsoba,bf BFA,DF,Leverkusen,de Bundesliga,24-056,1999,23.9,38,21,26,9,3,22,33,66.7,11,29,14,15,28,66,78,1,Matches
2469,Florian Tardieu,fr FRA,MF,Troyes,fr Ligue 1,30-342,1992,11.2,31,20,19,12,0,12,29,41.4,17,19,4,15,23,54,15,0,Matches
2470,Matt Targett,eng ENG,DF,Newcastle Utd,eng Premier League,27-193,1995,4.8,11,8,6,3,2,8,15,53.3,7,4,1,3,7,18,12,0,Matches
2471,James Tarkowski,eng ENG,DF,Everton,eng Premier League,30-131,1992,28.0,34,20,26,7,1,12,25,48.0,13,82,64,18,34,68,155,3,Matches
2472,Ciprian Tătărușanu,ro ROU,GK,Milan,it Serie A,37-049,1986,16.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,Matches
2473,Niklas Tauer,de GER,DFMF,Mainz 05,de Bundesliga,22-041,2001,1.0,2,1,2,0,0,1,3,33.3,2,2,1,1,2,4,4,0,Matches
2474,Nuno Tavares,pt POR,DFMF,Marseille,fr Ligue 1,23-063,2000,21.5,44,22,17,20,7,20,43,46.5,23,28,4,24,14,58,22,0,Matches
2475,Marcus Tavernier,eng ENG,MFFW,Bournemouth,eng Premier League,24-008,1999,15.2,26,17,15,10,1,7,18,38.9,11,15,1,14,5,31,21,0,Matches
2476,Enzo Tchato,cm CMR,DF,Montpellier,fr Ligue 1,20-127,2002,10.6,22,15,11,10,1,10,16,62.5,6,13,1,12,6,28,28,0,Matches
2477,Aurélien Tchouaméni,fr FRA,MF,Real Madrid,es La Liga,23-062,2000,14.0,36,23,10,24,2,12,22,54.5,10,13,4,9,28,64,28,0,Matches
2478,Mathys Tel,fr FRA,FW,Bayern Munich,de Bundesliga,17-337,2005,3.5,1,1,0,1,0,1,1,100.0,0,5,1,4,0,1,1,0,Matches
2479,Semir Telalovic,de GER,MFFW,M'Gladbach,de Bundesliga,23-097,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
2480,Alex Telles,br BRA,DF,Sevilla,es La Liga,30-105,1992,11.1,12,7,7,5,0,8,13,61.5,5,12,5,7,15,27,22,0,Matches
2481,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,30-334,1992,26.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,3,Matches
2482,Simon Terodde,de GER,FW,Schalke 04,de Bundesliga,35-028,1988,15.2,14,7,4,6,4,2,10,20.0,8,6,2,4,6,20,6,0,Matches
2483,Filippo Terracciano,it ITA,DFMF,Hellas Verona,it Serie A,20-050,2003,5.9,10,7,4,4,2,6,10,60.0,4,4,3,1,6,16,11,0,Matches
2484,Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,33-022,1990,23.0,2,1,2,0,0,2,2,100.0,0,0,0,0,1,3,10,0,Matches
2485,Ramón Terrats,es ESP,MF,Villarreal,es La Liga,22-163,2000,3.4,2,2,0,1,1,2,3,66.7,1,2,1,1,2,4,2,0,Matches
2486,Ramón Terrats,es ESP,MF,Girona,es La Liga,22-163,2000,2.4,4,2,1,3,0,2,6,33.3,4,6,2,4,3,7,3,1,Matches
2487,Martin Terrier,fr FRA,FWMF,Rennes,fr Ligue 1,26-026,1997,14.7,25,11,7,9,9,13,24,54.2,11,15,2,13,14,39,6,0,Matches
2488,Aleksa Terzić,rs SRB,DF,Fiorentina,it Serie A,23-225,1999,5.6,10,6,6,3,1,7,13,53.8,6,10,3,7,4,14,8,0,Matches
2489,Tetê,br BRA,FW,Leicester City,eng Premier League,23-043,2000,5.0,11,6,3,6,2,5,15,33.3,10,6,0,6,1,12,0,0,Matches
2490,Tetê,br BRA,FWMF,Lyon,fr Ligue 1,23-043,2000,12.3,21,10,8,5,8,10,19,52.6,9,9,0,9,13,34,2,0,Matches
2491,Kenny Tete,nl NED,DF,Fulham,eng Premier League,27-172,1995,19.6,59,33,33,17,9,27,35,77.1,8,32,13,19,31,90,61,0,Matches
2492,Florian Thauvin,fr FRA,FW,Udinese,it Serie A,30-063,1993,2.2,1,0,0,1,0,1,3,33.3,2,2,0,2,1,2,1,0,Matches
2493,Arthur Theate,be BEL,DF,Rennes,fr Ligue 1,22-309,2000,26.9,25,16,15,7,3,16,25,64.0,9,18,8,10,23,48,84,2,Matches
2494,Malick Thiaw,de GER,DF,Milan,it Serie A,21-234,2001,7.6,18,15,14,4,0,7,12,58.3,5,9,5,4,5,23,38,1,Matches
2495,Malick Thiaw,de GER,DF,Schalke 04,de Bundesliga,21-234,2001,3.0,3,1,2,1,0,1,2,50.0,1,4,3,1,9,12,24,1,Matches
2496,Jan Thielmann,de GER,FW,Köln,de Bundesliga,20-308,2002,6.2,8,7,3,4,1,2,7,28.6,5,9,2,7,3,11,5,0,Matches
2497,Sada Thioub,sn SEN,FWMF,Angers,fr Ligue 1,27-302,1995,6.4,14,6,7,5,2,4,8,50.0,4,7,0,7,2,16,3,0,Matches
2498,Luke Thomas,eng ENG,DF,Leicester City,eng Premier League,21-293,2001,7.7,12,11,6,5,1,9,19,47.4,10,12,2,10,22,34,21,0,Matches
2499,Adrien Thomasson,fr FRA,MF,Strasbourg,fr Ligue 1,29-110,1993,10.4,20,9,9,6,5,10,30,33.3,20,18,0,18,3,23,2,0,Matches
2500,Adrien Thomasson,fr FRA,MFFW,Lens,fr Ligue 1,29-110,1993,6.6,16,13,5,7,4,7,17,41.2,10,14,0,14,3,19,4,0,Matches
2501,Morten Thorsby,no NOR,MF,Union Berlin,de Bundesliga,26-329,1996,6.9,16,8,6,9,1,10,16,62.5,6,9,4,5,2,18,18,0,Matches
2502,Kristian Thorstvedt,no NOR,MF,Sassuolo,it Serie A,24-017,1999,11.1,14,7,4,8,2,5,13,38.5,8,14,3,11,12,26,13,0,Matches
2503,Marcus Thuram,fr FRA,FW,M'Gladbach,de Bundesliga,25-236,1997,22.2,13,6,3,5,5,6,10,60.0,4,14,3,11,5,18,17,0,Matches
2504,Khéphren Thuram-Ulie,fr FRA,MF,Nice,fr Ligue 1,22-004,2001,22.3,41,22,17,20,4,17,37,45.9,20,24,9,15,29,70,27,0,Matches
