,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
2452,Williot Swedberg,se SWE,MF,Celta Vigo,es La Liga,19-057,2004,0.4,11,12,91.7,148,37,7,8,87.5,3,3,100.0,0,0,,0,0.0,0.1,0.0,0,1,1,0,3,Matches
2453,Issiaga Sylla,gn GUI,DF,Montpellier,fr Ligue 1,29-088,1994,7.0,382,474,80.6,6266,1937,197,225,87.6,143,174,82.2,31,46,67.4,3,1.8,0.5,+1.2,14,24,7,2,42,Matches
2454,Issiaga Sylla,gn GUI,DF,Toulouse,fr Ligue 1,29-088,1994,15.2,645,838,77.0,9771,3801,339,407,83.3,246,307,80.1,31,56,55.4,0,0.5,1.1,-0.5,6,58,20,4,95,Matches
2455,Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,32-346,1990,18.5,397,520,76.3,11935,8511,54,54,100.0,184,185,99.5,159,278,57.2,0,0.0,0.0,0.0,0,3,0,0,0,Matches
2456,Dominik Szoboszlai,hu HUN,MFFW,RB Leipzig,de Bundesliga,22-156,2000,20.0,930,1151,80.8,15765,4283,494,560,88.2,295,354,83.3,106,151,70.2,8,6.7,7.2,+1.3,52,81,36,5,114,Matches
2457,Alexander Sørloth,no NOR,FW,Real Sociedad,es La Liga,27-115,1995,18.4,228,330,69.1,2823,364,147,184,79.9,59,90,65.6,5,8,62.5,1,1.3,0.8,-0.3,20,10,6,1,14,Matches
2458,Alexander Sørloth,no NOR,FW,RB Leipzig,de Bundesliga,27-115,1995,0.1,2,2,100.0,21,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
2459,Nicolás Tagliafico,ar ARG,DF,Lyon,fr Ligue 1,30-211,1992,25.7,1306,1526,85.6,20020,6367,675,735,91.8,536,619,86.6,52,95,54.7,3,3.4,3.0,-0.4,18,97,30,6,129,Matches
2460,Jonathan Tah,de GER,DF,Leverkusen,de Bundesliga,27-047,1996,19.6,1032,1161,88.9,19600,6764,359,384,93.5,574,618,92.9,95,137,69.3,0,0.4,0.2,-0.4,5,37,1,0,35,Matches
2461,Benjamin Tahirovic,ba BIH,MF,Roma,it Serie A,20-027,2003,1.5,57,65,87.7,1078,184,23,25,92.0,24,27,88.9,9,10,90.0,0,0.1,0.0,-0.1,3,3,1,1,1,Matches
2462,Waniss Taibi,fr FRA,MF,Angers,fr Ligue 1,21-023,2002,2.1,131,147,89.1,1957,530,66,75,88.0,55,57,96.5,4,5,80.0,1,0.1,0.3,+0.9,1,11,2,0,15,Matches
2463,Flavien Tait,fr FRA,MF,Rennes,fr Ligue 1,30-056,1993,15.8,783,923,84.8,13799,3907,348,397,87.7,316,355,89.0,91,118,77.1,2,2.0,2.2,0.0,19,102,26,1,136,Matches
2464,Montassar Talbi,tn TUN,DF,Lorient,fr Ligue 1,24-308,1998,28.0,1306,1454,89.8,23467,7610,434,464,93.5,752,791,95.1,80,152,52.6,1,0.2,0.3,+0.8,4,30,1,0,45,Matches
2465,Adrien Tameze,cm CMR,MF,Hellas Verona,it Serie A,29-054,1994,23.3,594,781,76.1,10614,3382,255,324,78.7,267,315,84.8,60,97,61.9,0,0.7,0.8,-0.7,16,66,10,0,84,Matches
2466,Japhet Tanganga,eng ENG,DF,Tottenham,eng Premier League,23-364,1999,1.6,80,89,89.9,1288,521,41,45,91.1,33,36,91.7,5,7,71.4,0,0.0,0.0,0.0,0,4,1,1,5,Matches
2467,Renato Tapia,pe PER,MFDF,Celta Vigo,es La Liga,27-245,1995,9.0,407,473,86.0,7625,1923,167,183,91.3,179,194,92.3,55,83,66.3,0,0.7,0.4,-0.7,8,39,3,0,37,Matches
2468,Edmond Tapsoba,bf BFA,DF,Leverkusen,de Bundesliga,24-056,1999,23.9,1424,1660,85.8,26842,10332,528,583,90.6,737,802,91.9,146,239,61.1,0,0.9,1.1,-0.9,4,103,7,0,112,Matches
2469,Florian Tardieu,fr FRA,MF,Troyes,fr Ligue 1,30-342,1992,11.2,655,755,86.8,11723,4194,302,325,92.9,242,267,90.6,84,127,66.1,0,1.0,1.2,-1.0,17,68,8,2,83,Matches
2470,Matt Targett,eng ENG,DF,Newcastle Utd,eng Premier League,27-193,1995,4.8,219,286,76.6,3578,1471,109,125,87.2,94,107,87.9,13,44,29.5,0,0.3,0.6,-0.3,7,16,5,0,31,Matches
2471,James Tarkowski,eng ENG,DF,Everton,eng Premier League,30-131,1992,28.0,1069,1303,82.0,21636,8376,352,396,88.9,572,649,88.1,139,238,58.4,1,1.7,1.5,-0.7,11,77,2,0,76,Matches
2472,Ciprian Tătărușanu,ro ROU,GK,Milan,it Serie A,37-049,1986,16.0,434,560,77.5,12788,9173,60,60,100.0,198,204,97.1,174,290,60.0,1,0.5,0.0,+0.5,2,9,0,0,0,Matches
2473,Niklas Tauer,de GER,DFMF,Mainz 05,de Bundesliga,22-041,2001,1.0,50,56,89.3,757,260,30,33,90.9,19,20,95.0,1,2,50.0,0,0.0,0.1,0.0,0,5,2,1,6,Matches
2474,Nuno Tavares,pt POR,DFMF,Marseille,fr Ligue 1,23-063,2000,21.5,862,1111,77.6,13129,4585,512,575,89.0,271,371,73.0,53,96,55.2,0,2.3,3.3,-2.3,22,61,36,12,87,Matches
2475,Marcus Tavernier,eng ENG,MFFW,Bournemouth,eng Premier League,24-008,1999,15.2,359,525,68.4,5780,1528,199,242,82.2,111,156,71.2,34,84,40.5,4,2.2,1.0,+1.8,15,22,8,3,36,Matches
2476,Enzo Tchato,cm CMR,DF,Montpellier,fr Ligue 1,20-127,2002,10.6,340,471,72.2,5203,1706,191,234,81.6,115,160,71.9,18,46,39.1,1,1.1,0.7,-0.1,5,20,6,5,29,Matches
2477,Aurélien Tchouaméni,fr FRA,MF,Real Madrid,es La Liga,23-062,2000,14.0,955,1026,93.1,15294,4624,485,507,95.7,390,420,92.9,54,64,84.4,3,1.7,1.6,+1.3,13,88,7,0,92,Matches
2478,Mathys Tel,fr FRA,FW,Bayern Munich,de Bundesliga,17-337,2005,3.5,110,134,82.1,1572,222,64,73,87.7,42,50,84.0,3,3,100.0,0,0.4,0.2,-0.4,5,6,3,1,9,Matches
2479,Semir Telalovic,de GER,MFFW,M'Gladbach,de Bundesliga,23-097,1999,0.1,1,2,50.0,6,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
2480,Alex Telles,br BRA,DF,Sevilla,es La Liga,30-105,1992,11.1,398,532,74.8,6750,2479,208,229,90.8,132,178,74.2,45,95,47.4,2,1.0,1.0,+1.0,16,31,15,11,27,Matches
2481,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,30-334,1992,26.0,848,1002,84.6,21665,14788,164,167,98.2,427,434,98.4,254,398,63.8,0,0.1,0.0,-0.1,1,8,0,0,3,Matches
2482,Simon Terodde,de GER,FW,Schalke 04,de Bundesliga,35-028,1988,15.2,169,253,66.8,2342,333,93,122,76.2,56,82,68.3,7,11,63.6,0,1.3,1.1,-1.3,13,11,5,0,14,Matches
2483,Filippo Terracciano,it ITA,DFMF,Hellas Verona,it Serie A,20-050,2003,5.9,145,211,68.7,2643,970,54,73,74.0,69,91,75.8,14,29,48.3,0,0.9,0.9,-0.9,5,11,6,2,24,Matches
2484,Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,33-022,1990,23.0,637,834,76.4,18384,12684,109,110,99.1,270,275,98.2,255,442,57.7,0,0.0,0.0,0.0,0,12,0,0,0,Matches
2485,Ramón Terrats,es ESP,MF,Villarreal,es La Liga,22-163,2000,3.4,141,169,83.4,2242,573,92,98,93.9,34,45,75.6,15,21,71.4,1,0.9,0.6,+0.1,3,13,6,1,24,Matches
2486,Ramón Terrats,es ESP,MF,Girona,es La Liga,22-163,2000,2.4,77,96,80.2,1216,290,44,48,91.7,23,31,74.2,8,10,80.0,0,0.0,0.0,0.0,1,5,1,0,6,Matches
2487,Martin Terrier,fr FRA,FWMF,Rennes,fr Ligue 1,26-026,1997,14.7,447,603,74.1,6794,1561,230,302,76.2,146,187,78.1,38,52,73.1,4,3.4,2.2,+0.6,26,39,15,3,60,Matches
2488,Aleksa Terzić,rs SRB,DF,Fiorentina,it Serie A,23-225,1999,5.6,357,438,81.5,6571,2073,150,162,92.6,156,189,82.5,43,67,64.2,0,1.1,1.0,-1.1,15,22,17,15,27,Matches
2489,Tetê,br BRA,FW,Leicester City,eng Premier League,23-043,2000,5.0,101,152,66.4,1478,286,59,79,74.7,27,43,62.8,8,10,80.0,0,0.1,0.2,-0.1,3,8,2,1,13,Matches
2490,Tetê,br BRA,FWMF,Lyon,fr Ligue 1,23-043,2000,12.3,378,499,75.8,5666,1276,203,234,86.8,138,180,76.7,18,49,36.7,2,1.3,2.3,+0.7,10,25,18,3,52,Matches
2491,Kenny Tete,nl NED,DF,Fulham,eng Premier League,27-172,1995,19.6,772,1060,72.8,12130,4918,410,478,85.8,296,409,72.4,50,104,48.1,4,1.4,1.4,+2.6,17,46,17,13,65,Matches
2492,Florian Thauvin,fr FRA,FW,Udinese,it Serie A,30-063,1993,2.2,43,79,54.4,862,266,19,26,73.1,17,26,65.4,7,22,31.8,0,0.5,0.3,-0.5,4,3,3,1,10,Matches
2493,Arthur Theate,be BEL,DF,Rennes,fr Ligue 1,22-309,2000,26.9,1779,1968,90.4,36017,12123,488,522,93.5,1051,1120,93.8,211,274,77.0,0,0.5,0.7,-0.5,7,179,3,0,187,Matches
2494,Malick Thiaw,de GER,DF,Milan,it Serie A,21-234,2001,7.6,338,411,82.2,6863,2317,90,111,81.1,202,224,90.2,44,66,66.7,0,0.2,0.1,-0.2,2,21,2,0,22,Matches
2495,Malick Thiaw,de GER,DF,Schalke 04,de Bundesliga,21-234,2001,3.0,108,123,87.8,2266,690,25,30,83.3,72,79,91.1,11,14,78.6,0,0.0,0.0,0.0,0,4,0,0,3,Matches
2496,Jan Thielmann,de GER,FW,Köln,de Bundesliga,20-308,2002,6.2,90,142,63.4,1505,332,46,62,74.2,34,43,79.1,7,17,41.2,1,0.1,0.4,+0.9,3,7,3,1,6,Matches
2497,Sada Thioub,sn SEN,FWMF,Angers,fr Ligue 1,27-302,1995,6.4,234,293,79.9,3551,1233,124,142,87.3,85,105,81.0,12,22,54.5,1,1.2,0.9,-0.2,9,30,10,4,39,Matches
2498,Luke Thomas,eng ENG,DF,Leicester City,eng Premier League,21-293,2001,7.7,364,457,79.6,5663,2395,202,228,88.6,140,170,82.4,20,36,55.6,0,0.6,0.4,-0.6,3,26,3,1,35,Matches
2499,Adrien Thomasson,fr FRA,MF,Strasbourg,fr Ligue 1,29-110,1993,10.4,429,524,81.9,6717,1586,214,251,85.3,161,191,84.3,29,41,70.7,2,1.9,1.9,+0.1,17,25,13,2,41,Matches
2500,Adrien Thomasson,fr FRA,MFFW,Lens,fr Ligue 1,29-110,1993,6.6,221,285,77.5,3249,800,123,151,81.5,77,91,84.6,11,18,61.1,2,0.9,0.5,+1.1,7,29,7,2,30,Matches
2501,Morten Thorsby,no NOR,MF,Union Berlin,de Bundesliga,26-329,1996,6.9,98,145,67.6,1354,482,61,77,79.2,29,47,61.7,3,8,37.5,1,0.4,0.3,+0.6,5,11,2,0,12,Matches
2502,Kristian Thorstvedt,no NOR,MF,Sassuolo,it Serie A,24-017,1999,11.1,317,413,76.8,4737,1562,176,214,82.2,109,137,79.6,17,28,60.7,1,1.1,1.2,-0.1,9,40,6,1,49,Matches
2503,Marcus Thuram,fr FRA,FW,M'Gladbach,de Bundesliga,25-236,1997,22.2,313,428,73.1,4042,720,190,236,80.5,89,117,76.1,6,13,46.2,3,3.1,1.3,-0.1,19,13,16,0,40,Matches
2504,Khéphren Thuram-Ulie,fr FRA,MF,Nice,fr Ligue 1,22-004,2001,22.3,912,1072,85.1,14655,3416,452,502,90.0,367,414,88.6,63,94,67.0,4,3.7,2.7,+0.3,25,80,13,1,94,Matches
2505,Alexis Tibidi,fr FRA,FW,Troyes,fr Ligue 1,19-147,2003,0.7,14,18,77.8,214,4,7,9,77.8,5,6,83.3,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
2506,Youri Tielemans,be BEL,MF,Leicester City,eng Premier League,25-327,1997,19.0,1021,1243,82.1,16948,5733,496,553,89.7,397,460,86.3,95,156,60.9,1,3.7,3.0,-2.7,24,128,26,7,143,Matches
2507,Kieran Tierney,sct SCO,DF,Arsenal,eng Premier League,25-298,1997,5.8,262,349,75.1,4863,1494,107,124,86.3,127,154,82.5,24,49,49.0,1,0.3,0.4,+0.7,4,28,6,1,29,Matches
2508,Steffen Tigges,de GER,FW,Köln,de Bundesliga,24-242,1998,14.7,158,276,57.2,2262,538,92,142,64.8,50,78,64.1,9,19,47.4,1,1.3,0.9,-0.3,12,19,7,1,23,Matches
2509,Jean-Clair Todibo,fr FRA,DF,Nice,fr Ligue 1,23-090,1999,24.5,1465,1657,88.4,28238,10698,483,506,95.5,843,890,94.7,120,221,54.3,0,0.2,0.5,-0.2,4,94,4,0,112,Matches
2510,Harry Toffolo,eng ENG,DF,Nott'ham Forest,eng Premier League,27-223,1995,7.1,193,291,66.3,3020,1392,113,130,86.9,70,108,64.8,8,35,22.9,0,0.7,0.9,-0.7,4,11,7,4,21,Matches
2511,Umut Tohumcu,de GER,MF,Hoffenheim,de Bundesliga,18-231,2004,2.6,47,61,77.0,821,242,21,25,84.0,20,21,95.2,4,8,50.0,0,0.0,0.0,0.0,1,8,0,0,7,Matches
2512,Karl Toko Ekambi,cm CMR,MFFW,Rennes,fr Ligue 1,30-197,1992,5.8,118,160,73.8,1712,375,67,81,82.7,41,57,71.9,4,4,100.0,0,1.0,0.4,-1.0,7,8,4,1,12,Matches
2513,Karl Toko Ekambi,cm CMR,FWMF,Lyon,fr Ligue 1,30-197,1992,15.0,493,617,79.9,7979,1331,260,313,83.1,181,213,85.0,36,48,75.0,2,3.0,3.1,-1.0,26,29,15,2,36,Matches
2514,Corentin Tolisso,fr FRA,MF,Lyon,fr Ligue 1,28-239,1994,14.5,1096,1243,88.2,19661,5967,470,514,91.4,459,507,90.5,130,161,80.7,1,2.9,3.4,-1.9,21,142,28,6,161,Matches
2515,Jeremy Toljan,de GER,DF,Sassuolo,it Serie A,28-234,1994,20.7,919,1095,83.9,15145,5529,463,514,90.1,364,417,87.3,74,112,66.1,1,2.4,1.2,-1.4,21,81,19,6,97,Matches
2516,Rafael Tolói,it ITA,DF,Atalanta,it Serie A,32-171,1990,21.1,917,1149,79.8,16595,6240,398,440,90.5,418,485,86.2,91,186,48.9,1,1.0,0.8,0.0,14,90,10,2,113,Matches
2517,Raúl de Tomás,es ESP,FW,Rayo Vallecano,es La Liga,28-164,1994,2.9,32,47,68.1,542,72,18,21,85.7,8,12,66.7,4,9,44.4,0,0.3,0.5,-0.3,2,0,3,0,4,Matches
2518,Tiago Tomás,pt POR,FWMF,Stuttgart,de Bundesliga,20-287,2002,10.6,156,248,62.9,2384,686,96,124,77.4,40,64,62.5,15,29,51.7,3,2.8,1.7,+0.2,15,8,11,4,16,Matches
2519,Takehiro Tomiyasu,jp JPN,DF,Arsenal,eng Premier League,24-145,1998,7.4,384,474,81.0,6453,2036,173,200,86.5,171,199,85.9,30,56,53.6,1,0.6,0.2,+0.4,4,41,6,2,51,Matches
2520,James Tomkins,eng ENG,DF,Crystal Palace,eng Premier League,34-001,1989,3.7,138,171,80.7,2645,822,47,55,85.5,79,87,90.8,12,27,44.4,0,0.0,0.0,0.0,0,2,0,0,2,Matches
2521,Fikayo Tomori,eng ENG,DF,Milan,it Serie A,25-101,1997,22.4,1141,1313,86.9,23672,7359,361,392,92.1,591,642,92.1,182,243,74.9,0,0.4,0.5,-0.4,5,59,5,0,82,Matches
2522,Sandro Tonali,it ITA,MF,Milan,it Serie A,22-326,2000,21.4,701,960,73.0,12898,4082,294,352,83.5,298,363,82.1,90,188,47.9,4,3.4,2.6,+0.6,37,80,19,4,95,Matches
2523,Ivan Toney,eng ENG,FW,Brentford,eng Premier League,27-014,1996,24.9,369,633,58.3,4600,1516,239,345,69.3,78,141,55.3,18,38,47.4,4,3.6,2.6,+0.4,20,42,21,4,60,Matches
2524,Pablo Torre,es ESP,MFFW,Barcelona,es La Liga,19-361,2003,0.3,13,17,76.5,170,58,9,11,81.8,4,4,100.0,0,2,0.0,0,0.0,0.1,0.0,0,2,1,0,3,Matches
2525,David Torres,es ESP,DF,Valladolid,es La Liga,20-025,2003,1.1,59,78,75.6,962,239,28,31,90.3,28,32,87.5,3,8,37.5,0,0.0,0.0,0.0,1,5,0,0,4,Matches
2526,Ferrán Torres,es ESP,FW,Barcelona,es La Liga,23-029,2000,11.1,321,421,76.2,4890,1030,187,210,89.0,103,137,75.2,24,43,55.8,0,2.9,3.1,-2.9,18,10,21,9,33,Matches
2527,Óliver Torres,es ESP,MFFW,Sevilla,es La Liga,28-140,1994,18.7,703,898,78.3,11849,3049,381,436,87.4,218,275,79.3,81,123,65.9,1,3.0,3.0,-2.0,28,82,20,6,114,Matches
2528,Pau Torres,es ESP,DF,Villarreal,es La Liga,26-073,1997,23.0,1242,1457,85.2,25385,8408,402,438,91.8,649,709,91.5,179,274,65.3,0,0.7,0.7,-0.7,11,129,7,1,133,Matches
2529,Roberto Torres,es ESP,FWMF,Osasuna,es La Liga,34-023,1989,0.1,12,13,92.3,223,50,5,5,100.0,2,3,66.7,3,3,100.0,0,0.3,0.2,-0.3,2,0,0,0,0,Matches
2530,Lucas Torró,es ESP,MF,Osasuna,es La Liga,28-254,1994,21.1,735,897,81.9,11707,3207,386,443,87.1,279,326,85.6,49,79,62.0,0,0.2,0.4,-0.2,6,70,0,0,82,Matches
2531,Nabil Touaizi,ma MAR,MF,Espanyol,es La Liga,22-057,2001,0.0,1,1,100.0,17,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
2532,Almamy Touré,ml MLI,DF,Eint Frankfurt,de Bundesliga,26-336,1996,1.8,80,101,79.2,1377,381,29,34,85.3,43,52,82.7,5,9,55.6,0,0.0,0.0,0.0,0,7,0,0,6,Matches
2533,Birama Touré,ml MLI,MF,Auxerre,fr Ligue 1,30-297,1992,27.8,947,1182,80.1,18576,5583,345,403,85.6,395,455,86.8,166,237,70.0,0,0.1,0.7,-0.1,3,87,9,0,110,Matches
2534,Souleymane Touré,fr FRA,DF,Marseille,fr Ligue 1,20-002,2003,0.8,32,38,84.2,583,158,10,13,76.9,21,23,91.3,1,2,50.0,0,0.0,0.0,0.0,0,3,0,0,2,Matches
2535,Souleymane Touré,fr FRA,DF,Auxerre,fr Ligue 1,20-002,2003,9.9,377,438,86.1,7521,2303,109,134,81.3,208,223,93.3,51,64,79.7,0,0.2,0.2,-0.2,4,23,2,0,28,Matches
2536,Lucas Tousart,fr FRA,MF,Hertha BSC,de Bundesliga,25-335,1997,23.7,411,674,61.0,6740,2550,206,303,68.0,151,215,70.2,35,79,44.3,1,0.7,1.2,+0.3,13,59,6,2,72,Matches
2537,Yoann Touzghar,tn TUN,FW,Ajaccio,fr Ligue 1,36-122,1986,4.3,70,99,70.7,838,145,54,66,81.8,11,18,61.1,1,2,50.0,0,0.0,0.1,0.0,1,4,0,0,6,Matches
2538,Adama Traoré,es ESP,FWMF,Wolves,eng Premier League,27-064,1996,13.1,266,402,66.2,3949,985,163,220,74.1,69,104,66.3,21,35,60.0,1,3.5,2.9,-2.5,20,14,18,13,29,Matches
2539,Bertrand Traoré,bf BFA,FW,Aston Villa,eng Premier League,27-205,1995,0.6,15,22,68.2,240,77,6,7,85.7,8,10,80.0,1,1,100.0,0,0.1,0.1,-0.1,1,0,3,2,2,Matches
2540,Boubacar Traoré,ml MLI,MF,Wolves,eng Premier League,21-222,2001,4.3,97,125,77.6,1641,548,44,53,83.0,47,54,87.0,5,10,50.0,1,0.2,0.1,+0.8,1,16,1,0,8,Matches
2541,Charles Traore,ml MLI,DF,Nantes,fr Ligue 1,31-088,1992,3.6,133,167,79.6,2421,1006,50,57,87.7,61,74,82.4,15,25,60.0,0,0.5,0.4,-0.5,2,10,3,2,7,Matches
2542,Hamari Traoré,ml MLI,DF,Rennes,fr Ligue 1,31-062,1992,18.5,1092,1286,84.9,19252,5897,445,494,90.1,548,625,87.7,84,132,63.6,2,1.4,2.5,+0.6,14,96,26,9,111,Matches
2543,Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,32-265,1990,24.0,427,642,66.5,11125,7340,84,85,98.8,223,227,98.2,118,323,36.5,0,0.0,0.0,0.0,0,6,0,0,0,Matches
2544,Mark Travers,ie IRL,GK,Bournemouth,eng Premier League,23-316,1999,10.5,244,324,75.3,7221,5230,83,83,100.0,82,83,98.8,78,157,49.7,0,0.0,0.0,0.0,0,4,0,0,0,Matches
2545,Óscar Trejo,ar ARG,MFFW,Rayo Vallecano,es La Liga,34-338,1988,17.6,606,753,80.5,8455,2251,369,415,88.9,177,216,81.9,30,58,51.7,4,2.9,2.3,+1.1,36,80,14,2,90,Matches
2546,Manu Trigueros,es ESP,MF,Villarreal,es La Liga,31-164,1991,6.2,301,344,87.5,4289,1052,176,192,91.7,105,120,87.5,9,16,56.3,0,0.4,0.4,-0.4,6,33,7,0,48,Matches
2547,Christopher Trimmel,at AUT,DF,Union Berlin,de Bundesliga,36-034,1987,16.3,506,819,61.8,8856,3766,233,276,84.4,207,291,71.1,51,197,25.9,5,2.2,2.1,+2.8,23,41,19,14,48,Matches
2548,Kieran Trippier,eng ENG,DF,Newcastle Utd,eng Premier League,32-192,1990,25.4,1291,1827,70.7,24720,11016,558,642,86.9,489,650,75.2,219,444,49.3,5,7.7,7.9,-2.7,73,116,67,21,166,Matches
2549,William Troost-Ekong,ng NGA,DF,Salernitana,it Serie A,29-210,1993,2.9,106,127,83.5,2238,833,23,27,85.2,70,77,90.9,11,18,61.1,0,0.0,0.0,0.0,0,1,1,1,4,Matches
2550,Leandro Trossard,be BEL,FW,Arsenal,eng Premier League,28-116,1994,5.0,167,224,74.6,2734,687,84,95,88.4,60,78,76.9,17,30,56.7,6,2.3,1.5,+3.7,11,9,18,3,29,Matches
2551,Leandro Trossard,be BEL,FWMF,Brighton,eng Premier League,28-116,1994,14.6,379,529,71.6,6222,1920,199,236,84.3,124,178,69.7,40,63,63.5,2,2.1,2.1,-0.1,23,42,25,7,67,Matches
2552,Adrien Truffert,fr FRA,DF,Rennes,fr Ligue 1,21-130,2001,21.7,1106,1395,79.3,17515,5252,544,621,87.6,487,625,77.9,52,87,59.8,6,1.5,1.6,+4.5,22,71,17,10,90,Matches
2553,Frank Tsadjout,it ITA,FWMF,Cremonese,it Serie A,23-245,1999,6.5,92,152,60.5,1158,219,59,92,64.1,26,37,70.3,2,7,28.6,1,0.2,0.2,+0.8,6,7,1,0,9,Matches
2554,Kostas Tsimikas,gr GRE,DF,Liverpool,eng Premier League,26-322,1996,6.0,330,428,77.1,5641,1547,164,190,86.3,116,142,81.7,41,75,54.7,4,1.5,1.1,+2.5,15,13,6,3,21,Matches
2555,Theocharis Tsingaras,gr GRE,MF,Toulouse,fr Ligue 1,22-222,2000,0.1,4,5,80.0,74,25,2,2,100.0,2,2,100.0,0,0,,0,0.1,0.0,-0.1,1,0,0,0,1,Matches
2556,Viktor Tsyhankov,ua UKR,MF,Girona,es La Liga,25-135,1997,5.0,132,180,73.3,1983,507,79,98,80.6,36,47,76.6,11,14,78.6,3,1.5,1.8,+1.5,13,3,2,1,10,Matches
2557,Alessandro Tuia,it ITA,DF,Lecce,it Serie A,32-295,1990,4.7,119,168,70.8,2644,1007,27,37,73.0,70,83,84.3,20,45,44.4,0,0.0,0.1,0.0,1,13,1,1,17,Matches
2558,Martin Turk,si SVN,GK,Sampdoria,it Serie A,19-221,2003,2.0,38,68,55.9,1335,1114,4,4,100.0,14,15,93.3,19,48,39.6,0,0.0,0.0,0.0,0,0,0,0,0,Matches
2559,Beñat Turrientes,es ESP,MFFW,Real Sociedad,es La Liga,21-058,2002,1.2,40,47,85.1,707,113,20,23,87.0,14,14,100.0,5,9,55.6,0,0.2,0.0,-0.2,2,3,0,0,2,Matches
2560,Tuta,br BRA,DF,Eint Frankfurt,de Bundesliga,23-269,1999,23.9,1155,1438,80.3,21803,7868,390,435,89.7,646,743,86.9,107,216,49.5,0,0.4,0.7,-0.4,4,66,2,0,82,Matches
2561,Iyenoma Udogie,it ITA,DF,Udinese,it Serie A,20-122,2002,22.2,687,841,81.7,10164,3536,397,451,88.0,243,292,83.2,28,37,75.7,3,3.8,1.7,-0.8,28,50,23,3,81,Matches
2562,Ike Ugbo,ca CAN,FWMF,Troyes,fr Ligue 1,24-190,1998,4.9,40,59,67.8,479,48,23,33,69.7,12,15,80.0,0,1,0.0,1,0.3,0.3,+0.7,2,2,0,0,2,Matches
2563,Chimuanya Ugochukwu,fr FRA,MF,Rennes,fr Ligue 1,19-004,2004,10.6,419,486,86.2,7837,1705,156,187,83.4,203,220,92.3,50,60,83.3,1,0.7,0.5,+0.3,1,28,1,0,36,Matches
2564,Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,34-239,1988,3.0,110,131,84.0,2282,1531,41,41,100.0,53,54,98.1,16,35,45.7,0,0.0,0.0,0.0,0,0,0,0,0,Matches
2565,Lauren Ulrich,de GER,MF,Stuttgart,de Bundesliga,18-058,2005,0.1,4,5,80.0,52,7,3,3,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
2566,Samuel Umtiti,fr FRA,DF,Lecce,it Serie A,29-136,1993,13.5,428,519,82.5,8361,2843,151,177,85.3,207,222,93.2,61,100,61.0,0,0.0,0.1,0.0,1,32,4,1,33,Matches
2567,Enes Ünal,tr TUR,FW,Getafe,es La Liga,25-324,1997,25.2,357,571,62.5,4265,924,228,312,73.1,83,155,53.5,10,22,45.5,3,2.2,1.1,+0.8,21,31,11,2,36,Matches
2568,Deniz Undav,de GER,FWMF,Brighton,eng Premier League,26-254,1996,2.8,51,63,81.0,553,115,36,41,87.8,9,11,81.8,1,4,25.0,0,0.7,0.7,-0.7,5,1,2,0,3,Matches
2569,Cengiz Ünder,tr TUR,MFDF,Marseille,fr Ligue 1,25-259,1997,18.4,509,724,70.3,8557,2671,278,327,85.0,158,225,70.2,56,120,46.7,4,4.9,4.8,-0.9,29,46,29,15,64,Matches
2570,Dayot Upamecano,fr FRA,DF,Bayern Munich,de Bundesliga,24-154,1998,22.0,1755,1945,90.2,35944,13219,484,524,92.4,1051,1105,95.1,213,290,73.4,1,0.3,0.9,+0.7,6,185,6,0,153,Matches
2571,Filip Uremović,hr CRO,DF,Hertha BSC,de Bundesliga,26-047,1997,14.4,429,545,78.7,8147,2333,131,163,80.4,270,303,89.1,24,63,38.1,0,0.1,0.2,-0.1,2,11,2,1,11,Matches
2572,Oscar Ureña,es ESP,MF,Girona,es La Liga,20-088,2003,1.1,15,22,68.2,192,19,7,10,70.0,6,6,100.0,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
2573,Jere Uronen,fi FIN,DF,Brest,fr Ligue 1,28-260,1994,3.3,125,157,79.6,2127,799,53,62,85.5,55,61,90.2,11,22,50.0,1,0.2,0.7,+0.8,1,12,6,5,15,Matches
2574,Jere Uronen,fi FIN,DF,Schalke 04,de Bundesliga,28-260,1994,4.7,173,241,71.8,3207,1371,76,87,87.4,72,90,80.0,22,45,48.9,0,0.7,0.6,-0.7,5,9,3,3,17,Matches
