,,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1374,Mateo Kovačić,hr CRO,MF,Chelsea,eng Premier League,26,1994,20.2,55,36,24,26,5,10,33,30.3,23,334,116,34.7,99,168,67,15,1,0,14,22,77,13,1,Matches
1375,Viktor Kovalenko,ua UKR,FW,Atalanta,it Serie A,24,1996,0.0,0,0,0,0,0,0,0,,0,3,2,66.7,1,1,1,1,0,0,1,0,0,1,0,Matches
1376,Emil Krafth,se SWE,DF,Newcastle Utd,eng Premier League,25,1994,14.3,23,16,14,8,1,10,25,40.0,15,169,52,30.8,91,58,20,33,10,0,23,21,44,56,1,Matches
1377,Andrej Kramarić,hr CRO,FWMF,Hoffenheim,de Bundesliga,29,1991,26.4,8,5,4,2,2,4,11,36.4,7,190,70,36.8,25,69,96,17,3,0,14,12,20,7,1,Matches
1378,Christoph Kramer,de GER,MF,M'Gladbach,de Bundesliga,29,1991,22.6,61,39,26,28,7,20,62,32.3,42,385,132,34.3,133,210,42,43,10,0,33,36,97,55,0,Matches
1379,Jean-Philippe Krasso,fr FRA,FW,Saint-Étienne,fr Ligue 1,23,1997,2.5,5,3,1,3,1,1,1,100.0,0,50,17,34.0,2,20,28,5,1,0,4,3,8,1,0,Matches
1380,Toni Kroos,de GER,MF,Real Madrid,es La Liga,30,1990,23.5,39,25,15,21,3,8,51,15.7,43,434,114,26.3,119,240,75,32,6,0,26,22,61,11,2,Matches
1381,Filip Krovinović,hr CRO,MF,West Brom,eng Premier League,24,1995,6.1,16,10,6,7,3,5,18,27.8,13,103,22,21.4,36,53,14,5,0,0,5,2,18,6,0,Matches
1382,Rade Krunić,ba BIH,MFFW,Milan,it Serie A,26,1993,8.0,16,14,5,9,2,7,24,29.2,17,166,43,25.9,61,79,26,14,2,1,12,4,20,11,0,Matches
1383,Max Kruse,de GER,FWMF,Union Berlin,de Bundesliga,32,1988,18.1,9,4,4,4,1,2,13,15.4,11,191,62,32.5,19,104,68,17,0,0,17,5,14,7,0,Matches
1384,Lukas Kübler,de GER,DF,Freiburg,de Bundesliga,27,1992,9.8,20,13,15,3,2,8,18,44.4,10,149,38,25.5,86,51,12,16,3,0,13,17,37,34,0,Matches
1385,Takefusa Kubo,jp JPN,MFFW,Villarreal,es La Liga,19,2001,3.3,5,3,2,1,2,2,4,50.0,2,49,17,34.7,13,20,16,1,0,0,1,2,7,1,0,Matches
1386,Takefusa Kubo,jp JPN,MFFW,Getafe,es La Liga,19,2001,8.9,8,5,1,5,2,1,15,6.7,14,193,51,26.4,28,87,78,22,0,0,22,12,20,7,0,Matches
1387,Juraj Kucka,sk SVK,MFFW,Parma,it Serie A,33,1987,25.9,62,42,27,27,8,14,57,24.6,43,497,148,29.8,147,253,97,32,4,0,28,27,89,28,0,Matches
1388,Kuki,es ESP,MF,Valladolid,es La Liga,22,1998,0.3,1,1,0,0,1,0,0,,0,10,2,20.0,0,9,1,1,0,0,1,0,1,0,0,Matches
1389,Dejan Kulusevski,se SWE,MFFW,Juventus,it Serie A,20,2000,21.4,33,25,10,13,10,12,38,31.6,26,441,116,26.3,111,190,140,28,0,0,28,12,45,1,0,Matches
1390,Marash Kumbulla,al ALB,DF,Roma,it Serie A,20,2000,15.1,13,10,8,4,1,3,16,18.8,13,196,75,38.3,95,90,11,17,5,0,12,15,28,53,0,Matches
1391,Pierre Kunde,cm CMR,MF,Mainz 05,de Bundesliga,25,1995,5.7,12,6,3,8,1,1,8,12.5,7,77,21,27.3,21,44,12,6,1,0,5,7,19,12,0,Matches
1392,Fabian Kunze,de GER,MF,Arminia,de Bundesliga,22,1998,14.1,44,27,21,20,3,14,43,32.6,29,307,73,23.8,111,164,32,34,3,0,31,15,59,31,0,Matches
1393,Jasmin Kurtić,si SVN,MF,Parma,it Serie A,31,1989,30.4,59,34,25,30,4,17,59,28.8,42,520,141,27.1,194,261,65,27,2,0,25,33,92,60,0,Matches
1394,Layvin Kurzawa,fr FRA,DF,Paris S-G,fr Ligue 1,27,1992,14.2,32,16,14,12,6,10,30,33.3,20,167,61,36.5,57,65,45,25,5,0,20,27,59,31,2,Matches
1395,Dereck Kutesa,ch SUI,MFFW,Reims,fr Ligue 1,22,1997,7.6,15,9,7,3,5,4,17,23.5,13,128,24,18.8,47,42,39,16,1,0,15,6,21,2,0,Matches
1396,Ahmed Kutucu,tr TUR,FWMF,Schalke 04,de Bundesliga,20,2000,1.2,1,0,0,0,1,1,1,100.0,0,29,7,24.1,4,11,14,1,0,0,1,0,1,0,0,Matches
1397,Enock Kwateng,fr FRA,DF,Bordeaux,fr Ligue 1,23,1997,11.5,22,14,17,4,1,15,30,50.0,15,113,38,33.6,68,30,15,23,4,0,19,26,48,37,0,Matches
1398,Antonino La Gumina,it ITA,FW,Sampdoria,it Serie A,24,1996,3.8,3,3,0,1,2,0,0,,0,75,21,28.0,2,19,54,2,1,0,1,4,7,6,0,Matches
1399,Gaëtan Laborde,fr FRA,FWMF,Montpellier,fr Ligue 1,26,1994,36.2,53,33,24,17,12,21,79,26.6,58,518,122,23.6,106,227,185,42,3,0,39,16,69,28,0,Matches
1400,Alexandre Lacazette,fr FRA,FW,Arsenal,eng Premier League,29,1991,21.4,25,19,6,12,7,4,16,25.0,12,329,107,32.5,40,135,154,17,2,0,15,14,39,13,0,Matches
1401,Tom Lacoux,fr FRA,MF,Bordeaux,fr Ligue 1,18,2002,5.8,23,14,11,12,0,8,31,25.8,23,168,55,32.7,65,95,8,15,2,0,13,12,35,9,0,Matches
1402,Maxence Lacroix,fr FRA,DF,Wolfsburg,de Bundesliga,20,2000,28.8,63,34,48,15,0,20,47,42.6,27,335,121,36.1,195,135,5,63,24,1,39,76,139,174,0,Matches
1403,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,21,1999,38.0,0,0,0,0,0,0,0,,0,7,2,28.6,7,0,0,1,0,0,1,0,0,3,1,Matches
1404,Víctor Laguardia,es ESP,DF,Alavés,es La Liga,30,1989,29.2,22,16,17,4,1,12,35,34.3,23,188,74,39.4,114,68,6,47,16,1,31,26,48,183,1,Matches
1405,Konrad Laimer,at AUT,DFFW,RB Leipzig,de Bundesliga,23,1997,0.9,2,2,0,1,1,0,3,0.0,3,31,6,19.4,5,21,5,2,0,0,2,1,3,2,0,Matches
1406,Stefan Lainer,at AUT,DF,M'Gladbach,de Bundesliga,27,1992,30.8,60,39,27,22,11,27,70,38.6,43,440,136,30.9,155,192,93,77,9,0,68,40,100,88,2,Matches
1407,Diego Lainez,mx MEX,FW,Betis,es La Liga,20,2000,9.6,13,9,6,4,3,5,15,33.3,10,140,36,25.7,40,66,34,17,0,0,17,16,29,6,0,Matches
1408,Kenny Lala,fr FRA,DF,Strasbourg,fr Ligue 1,28,1991,20.4,24,15,14,8,2,8,21,38.1,13,211,66,31.3,79,96,36,27,8,2,19,13,37,39,2,Matches
1409,Adam Lallana,eng ENG,MFFW,Brighton,eng Premier League,32,1988,17.7,32,26,15,12,5,10,48,20.8,38,339,113,33.3,112,153,74,26,3,0,23,16,48,14,0,Matches
1410,Érik Lamela,ar ARG,FWMF,Tottenham,eng Premier League,28,1992,8.0,18,11,1,13,4,4,12,33.3,8,183,49,26.8,31,102,50,8,1,0,7,4,22,1,0,Matches
1411,Sam Lammers,nl NED,FWMF,Atalanta,it Serie A,23,1997,3.2,3,3,0,2,1,0,5,0.0,5,44,12,27.3,2,18,24,1,1,0,0,0,3,3,0,Matches
1412,Tariq Lamptey,eng ENG,DF,Brighton,eng Premier League,19,2000,9.8,17,10,9,6,2,7,14,50.0,7,124,41,33.1,49,53,22,15,1,0,14,13,30,17,0,Matches
1413,Loïck Landre,fr FRA,DF,Nîmes,fr Ligue 1,28,1992,18.1,17,15,11,6,0,11,23,47.8,12,118,42,35.6,81,37,0,37,20,0,17,24,41,84,0,Matches
1414,Michael Langer,at AUT,GK,Schalke 04,de Bundesliga,35,1985,2.7,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1415,Manuel Lanzini,ar ARG,MFFW,West Ham,eng Premier League,27,1993,6.3,6,6,2,3,1,2,13,15.4,11,109,37,33.9,33,48,28,15,0,0,15,6,12,5,0,Matches
1416,Gianluca Lapadula,pe PER,FW,Benevento,it Serie A,30,1990,28.5,28,20,2,14,12,6,24,25.0,18,360,83,23.1,27,165,168,18,6,0,12,7,35,12,0,Matches
1417,Aymeric Laporte,es ESP,DF,Manchester City,eng Premier League,26,1994,14.9,13,6,10,3,0,3,9,33.3,6,81,24,29.6,48,27,6,18,8,0,10,8,21,53,1,Matches
1418,Julien Laporte,fr FRA,DF,Lorient,fr Ligue 1,26,1993,29.5,69,40,48,19,2,35,73,47.9,38,315,114,36.2,218,91,6,44,26,0,18,48,117,222,2,Matches
1419,Danilo Larangeira,br BRA,DF,Bologna,it Serie A,36,1984,34.8,44,21,29,15,0,9,29,31.0,20,329,107,32.5,196,126,7,82,36,1,46,42,86,179,4,Matches
1420,Gautier Larsonneur,fr FRA,GK,Brest,fr Ligue 1,23,1997,35.0,0,0,0,0,0,0,1,0.0,1,5,1,20.0,5,0,0,1,0,0,1,1,1,5,2,Matches
1421,Kevin Lasagna,it ITA,FW,Udinese,it Serie A,27,1992,12.3,6,3,1,3,2,1,11,9.1,10,183,41,22.4,23,75,85,10,1,0,9,7,13,7,0,Matches
1422,Kevin Lasagna,it ITA,FW,Hellas Verona,it Serie A,27,1992,14.1,6,1,0,4,2,2,5,40.0,3,193,49,25.4,10,59,124,11,1,0,10,4,10,10,0,Matches
1423,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,26,1993,18.1,19,12,11,6,2,4,6,66.7,2,148,53,35.8,89,52,7,39,18,2,21,15,34,108,1,Matches
1424,Paul Lasne,fr FRA,MF,Brest,fr Ligue 1,31,1989,18.7,55,36,34,19,2,12,36,33.3,24,426,112,26.3,216,170,40,33,7,0,26,34,89,25,0,Matches
1425,Toni Lato,es ESP,DF,Valencia,es La Liga,22,1997,8.1,10,6,6,1,3,8,18,44.4,10,134,39,29.1,68,43,23,27,1,0,26,11,21,17,0,Matches
1426,Danny Latza,de GER,MF,Mainz 05,de Bundesliga,30,1989,20.0,47,31,18,19,10,21,73,28.8,52,476,145,30.5,150,240,86,51,7,0,44,27,74,28,0,Matches
1427,Armand Lauriente,fr FRA,FWMF,Lorient,fr Ligue 1,21,1998,18.0,25,17,9,16,0,6,21,28.6,15,266,77,28.9,51,133,82,17,0,0,17,14,39,5,0,Matches
1428,Vincent Laurini,fr FRA,DF,Parma,it Serie A,31,1989,9.7,18,13,13,3,2,8,10,80.0,2,127,32,25.2,70,43,14,17,4,0,13,15,33,20,0,Matches
1429,Lauti,uy URU,MFFW,Celta Vigo,es La Liga,19,2001,0.2,0,0,0,0,0,0,0,,0,3,1,33.3,0,1,2,0,0,0,0,0,0,1,0,Matches
1430,Wesley Lautoa,nc NCL,MFDF,Dijon,fr Ligue 1,32,1987,17.9,40,28,20,18,2,11,43,25.6,32,310,95,30.6,131,164,15,23,8,0,15,29,69,52,0,Matches
1431,Valentino Lazaro,at AUT,DFFW,M'Gladbach,de Bundesliga,24,1996,13.8,18,9,10,5,3,8,20,40.0,12,224,56,25.0,68,96,60,27,1,0,26,18,36,16,0,Matches
1432,Darko Lazović,rs SRB,DF,Hellas Verona,it Serie A,29,1990,27.8,27,20,8,16,3,13,40,32.5,27,209,67,32.1,60,88,61,39,9,0,30,20,47,36,0,Matches
1433,Manuel Lazzari,it ITA,DF,Lazio,it Serie A,26,1993,29.0,28,15,13,10,5,15,43,34.9,28,269,70,26.0,93,108,68,40,4,0,36,24,52,32,0,Matches
1434,Jérémy Le Douaron,fr FRA,FWMF,Brest,fr Ligue 1,22,1998,9.1,15,6,8,5,2,6,19,31.6,13,175,41,23.4,57,75,43,16,1,0,15,6,21,13,0,Matches
1435,Enzo Le Fée,fr FRA,MFFW,Lorient,fr Ligue 1,20,2000,20.2,52,36,19,28,5,23,74,31.1,51,491,121,24.6,147,267,77,40,7,0,33,27,79,12,0,Matches
1436,Vincent Le Goff,fr FRA,DF,Lorient,fr Ligue 1,30,1989,25.6,50,23,27,20,3,20,52,38.5,32,339,116,34.2,151,148,40,48,4,1,44,39,89,55,0,Matches
1437,Maxime Le Marchand,fr FRA,DF,Fulham,eng Premier League,30,1989,1.4,2,1,2,0,0,1,1,100.0,0,9,2,22.2,6,2,1,0,0,0,0,0,2,7,0,Matches
1438,Robin Le Normand,fr FRA,DF,Real Sociedad,es La Liga,23,1996,30.5,40,21,29,11,0,12,21,57.1,9,250,73,29.2,147,95,8,43,23,0,20,34,74,178,2,Matches
1439,Damien Le Tallec,fr FRA,MFDF,Montpellier,fr Ligue 1,30,1990,13.6,17,7,10,6,1,7,25,28.0,18,186,53,28.5,77,85,24,23,8,0,15,23,40,37,2,Matches
1440,James Lea Siliki,cm CMR,MF,Rennes,fr Ligue 1,24,1996,2.8,4,4,0,3,1,1,3,33.3,2,44,14,31.8,9,28,7,3,1,0,2,0,4,2,1,Matches
1441,Rafael Leão,pt POR,FW,Milan,it Serie A,21,1999,21.4,13,9,4,7,2,4,16,25.0,12,231,54,23.4,23,90,118,26,0,0,26,5,18,15,0,Matches
1442,Jean-Louis Leca,fr FRA,GK,Lens,fr Ligue 1,34,1985,36.8,0,0,0,0,0,0,3,0.0,3,9,4,44.4,9,0,0,0,0,0,0,0,0,0,0,Matches
1443,Mathew Leckie,au AUS,FWDF,Hertha BSC,de Bundesliga,29,1991,5.6,13,9,6,5,2,4,15,26.7,11,145,37,25.5,33,72,40,16,0,0,16,11,24,12,1,Matches
1444,Benjamin Lecomte,fr FRA,GK,Monaco,fr Ligue 1,29,1991,28.0,0,0,0,0,0,0,2,0.0,2,6,1,16.7,6,0,0,0,0,0,0,0,0,7,0,Matches
1445,Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,27,1993,32.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,2,0,0,2,0,0,2,6,Matches
1446,Pierre Lees-Melou,fr FRA,MF,Nice,fr Ligue 1,27,1993,22.9,85,47,34,41,10,31,92,33.7,61,505,146,28.9,156,249,100,53,14,0,39,32,117,37,0,Matches
1447,Lucas Leiva,br BRA,MF,Lazio,it Serie A,33,1987,23.7,70,45,37,31,2,29,92,31.5,63,503,169,33.6,203,261,39,28,1,0,27,45,115,46,0,Matches
1448,Florian Lejeune,fr FRA,DF,Alavés,es La Liga,29,1991,33.5,48,29,38,10,0,20,30,66.7,10,263,93,35.4,171,82,10,54,24,2,30,58,106,228,0,Matches
1449,Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,27,1993,7.2,13,8,8,5,0,5,13,38.5,8,110,28,25.5,46,41,23,18,3,0,15,6,19,21,0,Matches
1450,Thomas Lemar,fr FRA,MF,Atlético Madrid,es La Liga,24,1995,15.2,33,19,11,18,4,11,29,37.9,18,311,85,27.3,66,166,79,26,2,0,24,12,45,7,0,Matches
1451,Mario Lemina,ga GAB,MF,Fulham,eng Premier League,26,1993,18.9,61,36,30,23,8,19,40,47.5,21,319,105,32.9,124,153,42,28,6,0,22,43,104,37,0,Matches
1452,Fabien Lemoine,fr FRA,MF,Lorient,fr Ligue 1,33,1987,21.5,73,44,35,35,3,26,86,30.2,60,545,160,29.4,232,271,42,27,1,0,26,30,103,46,0,Matches
1453,Clément Lenglet,fr FRA,DF,Barcelona,es La Liga,25,1995,27.5,41,25,28,11,2,14,26,53.8,12,338,123,36.4,176,139,23,39,13,0,26,35,76,87,0,Matches
1454,Bernd Leno,de GER,GK,Arsenal,eng Premier League,28,1992,34.8,0,0,0,0,0,0,0,,0,3,2,66.7,3,0,0,1,0,0,1,0,0,0,0,Matches
1455,Christopher Lenz,de GER,DF,Union Berlin,de Bundesliga,25,1994,25.0,77,40,44,29,4,29,69,42.0,40,412,130,31.6,183,163,66,50,8,1,42,33,110,53,0,Matches
1456,Pedro León,es ESP,MFFW,Eibar,es La Liga,33,1986,10.4,10,7,3,4,3,6,24,25.0,18,141,50,35.5,30,69,42,18,1,0,17,5,15,8,0,Matches
1457,Sergio León,es ESP,FW,Levante,es La Liga,31,1989,8.3,7,3,0,4,3,1,7,14.3,6,133,33,24.8,14,58,61,5,0,0,5,4,11,4,0,Matches
1458,Lukas Lerager,dk DEN,MF,Genoa,it Serie A,27,1993,12.9,27,20,15,10,2,4,28,14.3,24,220,60,27.3,72,104,44,20,3,0,17,13,40,24,2,Matches
1459,Mehdi Léris,fr FRA,DFMF,Sampdoria,it Serie A,22,1998,4.3,14,9,6,5,3,6,15,40.0,9,130,29,22.3,47,52,31,19,4,0,15,12,26,10,0,Matches
1460,Khanya Leshabela,za RSA,MF,Leicester City,eng Premier League,20,1999,0.1,1,0,0,1,0,1,1,100.0,0,4,0,0.0,0,2,2,0,0,0,0,0,1,0,0,Matches
1461,Karlo Letica,hr CRO,GK,Sampdoria,it Serie A,23,1997,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1462,Gaetano Letizia,it ITA,DF,Benevento,it Serie A,30,1990,17.4,40,27,25,12,3,14,39,35.9,25,198,58,29.3,111,68,19,38,5,0,33,22,62,34,2,Matches
1463,Robert Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,31,1988,27.3,18,13,2,8,8,4,14,28.6,10,324,105,32.4,12,89,223,9,2,0,7,7,25,8,0,Matches
1464,Jamal Lewis,nir NIR,DF,Newcastle Utd,eng Premier League,22,1998,20.4,50,26,34,14,2,21,41,51.2,20,336,81,24.1,180,122,34,35,7,0,28,20,70,35,1,Matches
1465,Aaron Leya Iseka,be BEL,FW,Metz,fr Ligue 1,22,1997,11.2,9,5,3,3,3,3,10,30.0,7,121,26,21.5,4,56,61,6,3,0,3,2,11,4,0,Matches
1466,Yanis Lhery,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,17,2003,0.3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,Matches
1467,Dimitri Liénard,fr FRA,MF,Strasbourg,fr Ligue 1,32,1988,20.3,50,31,22,22,6,23,52,44.2,29,343,106,30.9,108,190,45,33,1,0,32,28,78,13,0,Matches
1468,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,24,1996,33.3,28,15,18,9,1,4,21,19.0,17,209,64,30.6,117,84,8,54,23,0,31,44,72,137,1,Matches
1469,Matthijs de Ligt,nl NED,DF,Juventus,it Serie A,20,1999,24.7,33,19,20,12,1,13,20,65.0,7,229,77,33.6,114,103,12,38,15,0,23,28,61,100,0,Matches
1470,Isaac Lihadji,fr FRA,MFDF,Lille,fr Ligue 1,18,2002,2.2,9,6,1,6,2,4,6,66.7,2,46,14,30.4,6,20,20,6,0,0,6,0,9,1,0,Matches
1471,Dimitris Limnios,gr GRE,MFFW,Köln,de Bundesliga,22,1998,4.2,8,5,5,2,1,3,6,50.0,3,73,22,30.1,22,34,17,6,0,0,6,1,9,1,0,Matches
1472,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,26,1994,28.7,26,16,17,9,0,12,21,57.1,9,192,67,34.9,117,67,8,40,17,0,23,32,58,132,2,Matches
1473,Karol Linetty,pl POL,MF,Torino,it Serie A,25,1995,20.4,50,30,18,22,10,12,39,30.8,27,324,91,28.1,113,157,54,22,6,0,16,16,66,10,0,Matches
1474,Jesse Lingard,eng ENG,MFFW,West Ham,eng Premier League,27,1992,15.8,15,10,5,7,3,5,16,31.3,11,335,71,21.2,48,186,101,7,1,0,6,7,22,1,0,Matches
1475,Pol Lirola,es ESP,DFFW,Fiorentina,it Serie A,22,1997,5.5,9,5,5,3,1,2,5,40.0,3,44,19,43.2,17,18,9,14,3,0,11,5,14,12,0,Matches
1476,Pol Lirola,es ESP,DF,Marseille,fr Ligue 1,22,1997,17.3,31,15,17,12,2,15,37,40.5,22,201,67,33.3,73,71,57,30,6,0,24,31,62,34,0,Matches
1477,Jake Livermore,eng ENG,MF,West Brom,eng Premier League,30,1989,13.8,29,19,10,17,2,11,32,34.4,21,244,67,27.5,75,132,37,33,7,0,26,19,48,33,0,Matches
1478,Diego Llorente,es ESP,DF,Leeds United,eng Premier League,26,1993,13.4,39,27,24,15,0,16,26,61.5,10,250,89,35.6,152,94,4,25,13,0,12,41,80,72,1,Matches
1479,Diego Llorente,es ESP,DF,Real Sociedad,es La Liga,26,1993,1.0,1,0,1,0,0,0,1,0.0,1,7,2,28.6,5,1,1,1,1,1,0,0,1,11,0,Matches
1480,Fernando Llorente,es ESP,FW,Udinese,it Serie A,35,1985,7.9,4,2,1,3,0,3,6,50.0,3,117,23,19.7,17,63,37,2,0,0,2,4,8,16,0,Matches
1481,Fernando Llorente,es ESP,FWMF,Napoli,it Serie A,35,1985,0.6,0,0,0,0,0,0,0,,0,6,2,33.3,0,3,3,0,0,0,0,0,0,0,0,Matches
1482,Marcos Llorente,es ESP,MFDF,Atlético Madrid,es La Liga,25,1995,32.8,73,44,24,34,15,26,54,48.1,28,649,192,29.6,130,334,185,63,5,0,58,31,104,31,0,Matches
1483,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,33,1986,38.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,2,1,Matches
1484,Giovani Lo Celso,ar ARG,MF,Tottenham,eng Premier League,24,1996,10.5,33,23,16,11,6,10,31,32.3,21,290,91,31.4,94,148,48,11,1,0,10,8,41,9,0,Matches
1485,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,25,1994,1.7,1,1,0,1,0,0,1,0.0,1,21,5,23.8,4,10,7,1,1,0,0,1,2,1,0,Matches
1486,Manuel Locatelli,it ITA,MF,Sassuolo,it Serie A,22,1998,32.0,87,52,35,37,15,25,56,44.6,31,461,141,30.6,168,213,80,57,17,0,40,43,130,70,1,Matches
1487,Renan Lodi,br BRA,DF,Atlético Madrid,es La Liga,22,1998,12.5,32,16,16,11,5,13,25,52.0,12,190,66,34.7,59,91,40,27,0,0,27,23,55,25,0,Matches
1488,Ruben Loftus-Cheek,eng ENG,FW,Chelsea,eng Premier League,24,1996,0.7,0,0,0,0,0,0,0,,0,14,4,28.6,3,7,4,1,0,0,1,1,1,0,0,Matches
1489,Ruben Loftus-Cheek,eng ENG,MFFW,Fulham,eng Premier League,24,1996,21.2,32,22,11,15,6,9,22,40.9,13,337,100,29.7,62,175,100,24,2,0,22,23,55,15,0,Matches
1490,Niklas Lomb,de GER,GK,Leverkusen,de Bundesliga,27,1993,1.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,Matches
1491,Kevin Long,ie IRL,DF,Burnley,eng Premier League,29,1990,7.1,14,8,10,4,0,5,8,62.5,3,53,20,37.7,34,18,1,9,5,0,4,4,18,31,0,Matches
1492,Shane Long,ie IRL,FWMF,Southampton,eng Premier League,33,1987,2.3,2,0,0,0,2,1,3,33.3,2,34,7,20.6,2,19,13,1,0,0,1,2,4,1,0,Matches
1493,Matthew Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,20,2000,4.2,4,3,4,0,0,2,6,33.3,4,98,25,25.5,30,58,10,9,0,0,9,6,10,3,0,Matches
1494,Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,22,1997,15.7,36,21,16,17,3,21,60,35.0,39,398,99,24.9,168,184,46,29,4,0,25,19,55,21,1,Matches
1495,Ademola Lookman,eng ENG,FWMF,Fulham,eng Premier League,22,1997,30.5,38,29,12,19,7,5,35,14.3,30,517,155,30.0,110,231,176,42,2,0,40,25,63,13,0,Matches
1496,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,29,1990,38.0,0,0,0,0,0,0,1,0.0,1,4,1,25.0,4,0,0,1,0,0,1,0,0,2,3,Matches
1497,Rony Lopes,pt POR,FWMF,Nice,fr Ligue 1,24,1995,19.8,22,18,4,16,2,8,29,27.6,21,296,81,27.4,53,140,103,14,3,0,11,15,37,9,0,Matches
1498,Pedro López Muñoz,es ESP,DF,Huesca,es La Liga,36,1983,11.9,30,22,18,7,5,17,26,65.4,9,139,45,32.4,67,53,19,26,4,0,22,10,40,28,1,Matches
1499,Adrián López,es ESP,FWMF,Osasuna,es La Liga,32,1988,5.3,6,4,0,3,3,2,6,33.3,4,58,9,15.5,6,34,18,4,0,0,4,1,7,3,0,Matches
1500,Javi López,es ESP,DFMF,Alavés,es La Liga,18,2002,2.8,6,5,4,2,0,1,1,100.0,0,51,15,29.4,23,17,11,4,0,0,4,6,12,7,0,Matches
1501,Maxime Lopez,fr FRA,FWMF,Marseille,fr Ligue 1,22,1997,1.5,1,0,1,0,0,0,3,0.0,3,28,6,21.4,10,12,6,0,0,0,0,1,2,3,0,Matches
1502,Maxime Lopez,fr FRA,MF,Sassuolo,it Serie A,22,1997,20.7,28,19,18,7,3,12,38,31.6,26,362,102,28.2,121,168,73,15,2,0,13,23,51,6,0,Matches
1503,Pau López,es ESP,GK,Roma,it Serie A,25,1994,20.2,0,0,0,0,0,0,0,,0,4,0,0.0,4,0,0,1,0,0,1,0,0,0,1,Matches
1504,Roberto López,es ESP,MFFW,Real Sociedad,es La Liga,20,2000,5.6,4,2,2,1,1,1,9,11.1,8,85,19,22.4,20,49,16,5,0,0,5,3,7,4,0,Matches
1505,Unai López,es ESP,MF,Athletic Club,es La Liga,24,1995,15.8,31,22,13,16,2,9,28,32.1,19,252,75,29.8,72,145,35,26,5,0,21,11,42,18,1,Matches
1506,Dion Lopy,sn SEN,MF,Reims,fr Ligue 1,18,2002,2.8,2,1,0,2,0,0,3,0.0,3,41,12,29.3,15,22,4,0,0,0,0,4,6,1,0,Matches
1507,Jordan Lotomba,ch SUI,DF,Nice,fr Ligue 1,21,1998,23.6,38,19,27,6,5,19,34,55.9,15,281,81,28.8,121,110,50,45,6,0,39,18,56,57,1,Matches
1508,Adrien Louveau,fr FRA,DFMF,Lens,fr Ligue 1,20,2000,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
1509,Imran Louza,fr FRA,MF,Nantes,fr Ligue 1,21,1999,26.4,51,34,24,22,5,16,67,23.9,51,537,151,28.1,166,279,92,40,6,0,34,46,97,22,2,Matches
1510,Matteo Lovato,it ITA,DF,Hellas Verona,it Serie A,20,2000,15.4,27,18,15,10,2,10,20,50.0,10,199,72,36.2,100,90,9,27,10,0,17,19,46,86,2,Matches
1511,Max Lowe,eng ENG,DF,Sheffield Utd,eng Premier League,23,1997,6.1,23,14,20,2,1,7,20,35.0,13,130,37,28.5,60,51,19,21,3,0,18,3,26,12,1,Matches
1512,Eduard Löwen,de GER,MFDF,Hertha BSC,de Bundesliga,23,1997,0.9,5,4,2,1,2,2,5,40.0,3,27,4,14.8,12,8,7,0,0,0,0,1,6,2,0,Matches
1513,Matthew Lowton,eng ENG,DF,Burnley,eng Premier League,31,1989,34.0,67,36,36,29,2,33,76,43.4,43,290,84,29.0,134,114,42,66,14,0,52,55,122,116,2,Matches
1514,Anthony Lozano,hn HON,FWMF,Cádiz,es La Liga,27,1993,16.9,11,10,1,7,3,1,7,14.3,6,201,42,20.9,20,104,77,11,1,0,10,3,14,9,0,Matches
1515,Hirving Lozano,mx MEX,FW,Napoli,it Serie A,25,1995,21.8,34,20,14,14,6,9,32,28.1,23,397,107,27.0,75,174,148,55,3,0,52,18,52,7,0,Matches
